row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữuVND,Thặng dưvốn cổ phầnVND,Vốn khác của chủ sở hữuVND,Cổ phiếu quỹVND,Chênh lệch tỷ giá hôi đoáiVND,Quỹ đầu tư phát triểnVND,Quỹ khác thuộc vốn chú sở hữuVND,Lợi nhuận sau thuế chưa phân phốiVND,Tổng cộngVND,numeric__Vốn góp của chủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Vốn khác của chủ sở hữuVND,numeric__Cổ phiếu quỹVND,numeric__Chênh lệch tỷ giá hôi đoáiVND,numeric__Quỹ đầu tư phát triểnVND,numeric__Quỹ khác thuộc vốn chú sở hữuVND,numeric__Lợi nhuận sau thuế chưa phân phốiVND,numeric__Tổng cộngVND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,4.594.266.840.000,49.465.703.201,56.882.670.000,(823.760.000),(5.875.468.099),126.889.833.508,87.227.200.764,4.614.339.862.503,9.522.372.881.877,4594266840000.0,49465703201.0,56882670000.0,-823760000.0,-5875468099.0,126889833508.0,87227200764.0,4614339862503.0,9522372881877.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,22.963.700.000,-,-,-,-,-,-,-,22.963.700.000,22963700000.0,,,,,,,,22963700000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,2.931.530.862.562,2.931.530.862.562,,,,,,,,2931530862562.0,2931530862562.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(212.329.680.082),(212.329.680.082),,,,,,,,-212329680082.0,-212329680082.0
Trích và sử dụngquỹ đầu tư phát triển,Trích và sử dụngquỹ đầu tư phát triển,Trích và sử dụngquỹ đầu tư phát triển,-,-,-,-,-,44.270.763.538,-,(52.450.388.283),(8.179.624.745),,,,,,44270763538.0,,-52450388283.0,-8179624745.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,692.380.510.000,-,62.570.940.000,-,-,-,-,(754.951.450.000),-,692380510000.0,,62570940000.0,,,,,-754951450000.0,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(992.519.407.000),(992.519.407.000),,,,,,,,-992519407000.0,-992519407000.0
Biến động khác,Biến động khác,Biến động khác,-,-,168.375.913.052,-,16.234.007.546,-,3.150.660,(22.211.149.494),162.401.921.764,,,168375913052.0,,16234007546.0,,3150660.0,-22211149494.0,162401921764.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,5.309.611.050.000,49.465.703.201,287.829.523.052,(823.760.000),10.358.539.447,171.160.597.046,87.230.351.424,5.511.408.650.206,11.426.240.654.376,5309611050000.0,49465703201.0,287829523052.0,-823760000.0,10358539447.0,171160597046.0,87230351424.0,5511408650206.0,11426240654376.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,26.545.560.000,-,-,-,-,-,-,-,26.545.560.000,26545560000.0,,,,,,,,26545560000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,2.620.178.631.986,2.620.178.631.986,,,,,,,,2620178631986.0,2620178631986.0
Chia cổ tức bằng cổ phiếu(i),Chia cổ tức bằng cổ phiếu(i),Chia cổ tức bằng cổ phiếu(i),800.211.110.000,-,344.140.170.000,-,-,-,-,(1.144.351.280.000),-,800211110000.0,,344140170000.0,,,,,-1144351280000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(228.939.409.882),(228.939.409.882),,,,,,,,-228939409882.0,-228939409882.0
Trích và sử dụngquỹ đầu tư phát triển,Trích và sử dụngquỹ đầu tư phát triển,Trích và sử dụngquỹ đầu tư phát triển,-,-,-,-,-,51.801.924.157,-,(65.242.772.744),(13.440.848.587),,,,,,51801924157.0,,-65242772744.0,-13440848587.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(1.413.854.323.500),(1.413.854.323.500),,,,,,,,-1413854323500.0,-1413854323500.0
Biến động khác,Biến động khác,Biến động khác,-,-,35.065.578.221,-,4.607.111.013,-,(67.720),13.966.550.007,53.639.171.521,,,35065578221.0,,4607111013.0,,-67720.0,13966550007.0,53639171521.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,6.136.367.720.000,49.465.703.201,667.035.271.273,(823.760.000),14.965.650.460,222.962.521.203,87.230.283.704,5.293.166.046.073,12.470.369.435.914,6136367720000.0,49465703201.0,667035271273.0,-823760000.0,14965650460.0,222962521203.0,87230283704.0,5293166046073.0,12470369435914.0
