row_label_raw,row_label_full,col_0,Tài sản cố địnhVND,Doanh thuVND,KhácVND,TổngVND,numeric__Tài sản cố địnhVND,numeric__Doanh thuVND,numeric__KhácVND,numeric__TổngVND
Số đầu năm,Số đầu năm,Số đầu năm,17.795.401.242,33.040.140.027,9.598.864.672,60.434.405.941,17795401242.0,33040140027.0,9598864672.0,60434405941.0
Kết chuyển vào Báo cáo kết quả hoạt động kinh doanh hợp nhất trong năm,Kết chuyển vào Báo cáo kết quả hoạt động kinh doanh hợp nhất trong năm,Kết chuyển vào Báo cáo kết quả hoạt động kinh doanh hợp nhất trong năm,(858.283.263),(22.735.623.276),-,(23.593.906.539),-858283263.0,-22735623276.0,,-23593906539.0
Tăng khác,Tăng khác,Tăng khác,-,-,389.356.708,389.356.708,,,389356708.0,389356708.0
Số cuối năm,Số cuối năm,Số cuối năm,16.937.117.979,10.304.516.751,9.988.221.380,37.229.856.110,16937117979.0,10304516751.0,9988221380.0,37229856110.0
