row_label_raw,row_label_full,CHỈ TIÊUIII. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,CHỈ TIÊUIII. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,Mã số,Năm nay,Năm trước,numeric__CHỈ TIÊUIII. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH_1,numeric__Mã số,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,26.545.560.000,39.143.700.000,,31.0,26545560000.0,39143700000.0
2.,2.,2.,"Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,-,(130.000.000),,32.0,,-130000000.0
3.,3.,3.,Tiền thu từ đi vay,33,10.281.501.672.838,21.302.571.414.666,,33.0,10281501672838.0,21302571414666.0
4.,4.,4.,Tiền trả nợ gốc vay,34,(8.046.946.587.865),(21.923.254.763.024),,34.0,-8046946587865.0,-21923254763024.0
5.,5.,5.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.707.621.484.375),(1.330.432.287.475),,36.0,-1707621484375.0,-1330432287475.0
,,,Lưu chuyển tiên thuần từ hoạt động tài chính,40,553.479.160.598,(1.912.101.935.833),,40.0,553479160598.0,-1912101935833.0
,,,Lưu chuyển tiên thuần trong năm (50=20+30+40),50,445.067.691.505,(2.532.701.874.986),,50.0,445067691505.0,-2532701874986.0
,,,Tiền và tương đương tiền đầu năm,60,3.480.659.514.788,6.013.361.389.774,,60.0,3480659514788.0,6013361389774.0
,,,Tiền và tương đương tiền cuối năm (70=50+60),70,3.925.727.206.293,3.480.659.514.788,,70.0,3925727206293.0,3480659514788.0
