row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúc,Máy mócvà thiết bị,Thiết bịvăn phòng,Phương tiệnvận tải,Khác,Tổng,numeric__Nhà xuốngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Thiết bịvăn phòng,numeric__Phương tiệnvận tải,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,1.625.144.590.958,5.896.081.735.959,673.046.279.078,55.111.745.719,10.789.235.430,8.260.173.587.144,1625144590958.0,5896081735959.0,673046279078.0,55111745719.0,10789235430.0,8260173587144.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,13.571.261.757,1.529.467.003.748,59.745.653.438,4.076.306.839,5.708.610.106,1.612.568.835.888,13571261757.0,1529467003748.0,59745653438.0,4076306839.0,5708610106.0,1612568835888.0
Dầu tư xây dựng cơbản hoàn thành,NGUYÊN GIÁ > Dầu tư xây dựng cơbản hoàn thành,Dầu tư xây dựng cơbản hoàn thành,199.633.839.141,18.036.093.450,-,-,-,217.669.932.591,199633839141.0,18036093450.0,,,,217669932591.0
"Thanh lý, nhượngbán","NGUYÊN GIÁ > Thanh lý, nhượngbán","Thanh lý, nhượngbán",-,(144.798.332.553),(5.979.202.193),(651.501.268),-,(151.429.036.014),,-144798332553.0,-5979202193.0,-651501268.0,,-151429036014.0
Tăng/(giảm) khác (*),NGUYÊN GIÁ > Tăng/(giảm) khác (*),Tăng/(giảm) khác (*),46.931.421.853,(525.873.451.790),11.248.065.851,-,694.792.086,(466.999.172.000),46931421853.0,-525873451790.0,11248065851.0,,694792086.0,-466999172000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,1.885.281.113.709,6.772.913.048.814,738.060.796.174,58.536.551.290,17.192.637.622,9.471.984.147.609,1885281113709.0,6772913048814.0,738060796174.0,58536551290.0,17192637622.0,9471984147609.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,286.531.243.345,2.842.976.166.514,509.366.106.971,29.136.268.306,6.670.742.695,3.674.680.527.831,286531243345.0,2842976166514.0,509366106971.0,29136268306.0,6670742695.0,3674680527831.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,81.598.774.035,868.241.641.289,48.288.461.427,6.007.292.767,1.369.698.474,1.005.505.867.992,81598774035.0,868241641289.0,48288461427.0,6007292767.0,1369698474.0,1005505867992.0
"Thanh lý, nhượngbán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượngbán","Thanh lý, nhượngbán",-,(90.142.429.002),(5.685.591.215),(651.501.268),-,(96.479.521.485),,-90142429002.0,-5685591215.0,-651501268.0,,-96479521485.0
Tăng/(giảm) khác (*),GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng/(giảm) khác (*),Tăng/(giảm) khác (*),5.173.132.444,(333.797.439.009),9.087.576.237,-,688.053.493,(318.848.676.835),5173132444.0,-333797439009.0,9087576237.0,,688053493.0,-318848676835.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,373.303.149.824,3.287.277.939.792,561.056.553.420,34.492.059.805,8.728.494.662,4.264.858.197.503,373303149824.0,3287277939792.0,561056553420.0,34492059805.0,8728494662.0,4264858197503.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.338.613.347.613,3.053.105.569.445,163.680.172.107,25.975.477.413,4.118.492.735,4.585.493.059.313,1338613347613.0,3053105569445.0,163680172107.0,25975477413.0,4118492735.0,4585493059313.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.511.977.963.885,3.485.635.109.022,177.004.242.754,24.044.491.485,8.464.142.960,5.207.125.950.106,1511977963885.0,3485635109022.0,177004242754.0,24044491485.0,8464142960.0,5207125950106.0
