row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,14.982.096.384.457,11.761.300.662.093,,300.0,,14982096384457.0,11761300662093.0
I.,I.,I.,Nợ ngắn hạn,310,,14.451.149.990.521,11.100.344.738.740,,310.0,,14451149990521.0,11100344738740.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,,2.510.114.267.322,2.279.172.467.047,,311.0,,2510114267322.0,2279172467047.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,418.652.248.691,561.261.495.876,,312.0,,418652248691.0,561261495876.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,12,411.222.366.924,320.421.087.431,,313.0,12.0,411222366924.0,320421087431.0
4.,4.,4.,Phải trả người lao động,314,,1.191.302.627.829,830.413.330.203,,314.0,,1191302627829.0,830413330203.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,837.956.702.415,918.418.793.263,,315.0,20.0,837956702415.0,918418793263.0
6.,6.,6.,Phải trả theo tiễn độ kê hoạch hợp đồng xây dựng,317,7,46.561.518.663,20.380.725.175,,317.0,7.0,46561518663.0,20380725175.0
7.,7.,7.,Doanh thu chưa thực hiện ngắn hạn,318,21,1.610.921.248.698,1.293.630.917.628,,318.0,21.0,1610921248698.0,1293630917628.0
8.,8.,8.,Phải trả ngắn hạn khác,319,22,341.063.193.828,439.490.212.823,,319.0,22.0,341063193828.0,439490212823.0
9.,9.,9.,Vay và nợ thuê tài chính ngắn hạn,320,23,6.598.868.849.348,4.116.988.708.324,,320.0,23.0,6598868849348.0,4116988708324.0
10.,10.,10.,Dự phòng phải trả ngắn hạn,321,24,31.354.115.546,6.051.424.047,,321.0,24.0,31354115546.0,6051424047.0
11.,11.,11.,"Quỹ khen thưởng, phúc lợi",322,,453.132.851.257,314.115.576.923,,322.0,,453132851257.0,314115576923.0
II.,II.,II.,Nợ dài hạn,330,,530.946.393.936,660.955.923.353,,330.0,,530946393936.0,660955923353.0
1.,1.,1.,Người mua trả tiền trước dài hạn,332,,-,40.000.000.000,,332.0,,,40000000000.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,21,46.805.654.155,47.796.539.629,,336.0,21.0,46805654155.0,47796539629.0
3.,3.,3.,Phải trả dài hạn khác,337,22,108.962.237.984,1.525.469.921,,337.0,22.0,108962237984.0,1525469921.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,25,366.793.322.852,565.209.817.637,,338.0,25.0,366793322852.0,565209817637.0
5.,5.,5.,Thuế thu nhập hoãn lại phải trả,341,,335.327.364,2.853.492.585,,341.0,,335327364.0,2853492585.0
6.,6.,6.,Dự phòng phải trả dài hạn,342,24,7.857.755.298,3.378.507.298,,342.0,24.0,7857755298.0,3378507298.0
7.,7.,7.,Quỹ phát triển khoa học và công nghệ,343,,192.096.283,192.096.283,,343.0,,192096283.0,192096283.0
D.,D.,D.,VỐN CHỦ SỐ HỮU,400,,14.774.970.765.111,13.238.376.233.773,,400.0,,14774970765111.0,13238376233773.0
I.,I.,I.,Vốn chủ sở hữu,410,26,14.772.220.765.111,13.235.626.233.773,,410.0,26.0,14772220765111.0,13235626233773.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,6.136.367.720.000,5.309.611.050.000,,411.0,,6136367720000.0,5309611050000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,6.136.367.720.000,5.309.611.050.000,,,,6136367720000.0,5309611050000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,49.465.703.201,49.465.703.201,,412.0,,49465703201.0,49465703201.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,667.035.271.273,287.829.523.052,,414.0,,667035271273.0,287829523052.0
4.,4.,4.,Cổ phiếu quỹ,415,,(823.760.000),(823.760.000),,415.0,,-823760000.0,-823760000.0
5.,5.,5.,Chênh lệch tỷ giá hối đoái,417,,14.965.650.460,10.358.539.447,,417.0,,14965650460.0,10358539447.0
6.,6.,6.,Quỹ đầu tư phát triển,418,,222.962.521.203,171.160.597.046,,418.0,,222962521203.0,171160597046.0
7.,7.,7.,Quỹ khác thuộc vốn chủ sở hữu,420,,87.230.283.704,87.230.351.424,,420.0,,87230283704.0,87230351424.0
8.,8.,8.,Lợi nhuận sau thuế chưa phân phối,421,,5.293.166.046.073,5.511.408.650.206,,421.0,,5293166046073.0,5511408650206.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,3.515.481.219.969,3.323.086.196.728,,,,3515481219969.0,3323086196728.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.777.684.826.104,2.188.322.453.478,,,,1777684826104.0,2188322453478.0
9.,9.,9.,Lợi ích của cổ đông không kiểm soát,429,,2.301.851.329.197,1.809.385.579.397,,429.0,,2301851329197.0,1809385579397.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,2.750.000.000,2.750.000.000,,430.0,,2750000000.0,2750000000.0
1.,1.,1.,Nguồn kinh phí,431,,2.750.000.000,2.750.000.000,,431.0,,2750000000.0,2750000000.0
,,,TỔNG CÔNG NGUỒN VỐN (440=300+400),440,,29.757.067.149.568,24.999.676.895.866,,440.0,,29757067149568.0,24999676895866.0
