row_label_raw,row_label_full,col_0,VND,numeric__VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,-,
Tăng do mua công ty con (*),Số dư đầu năm nay > Tăng do mua công ty con (*),Tăng do mua công ty con (*),344.408.889.629,344408889629.0
Số dư cuối năm nay,Số dư đầu năm nay > Số dư cuối năm nay,Số dư cuối năm nay,344.408.889.629,344408889629.0
HAO MÒN,HAO MÒN,HAO MÒN,HAO MÒN,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,-,
Phân bố trong năm,Số dư đầu năm nay > Phân bố trong năm,Phân bố trong năm,18.391.166.449,18391166449.0
Số dư cuối năm nay,Số dư đầu năm nay > Số dư cuối năm nay,Số dư cuối năm nay,18.391.166.449,18391166449.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,-,
Tại ngày cuối năm,Tại ngày đầu năm > Tại ngày cuối năm,Tại ngày cuối năm,326.017.723.180,326017723180.0
