row_label_raw,row_label_full,col_0,Dự phòng bào hành sản phẩm ngăn hạn VND,Bảo lãnh cho các khoản cho sinh viên vay dài hạn VND,Tổng VND,numeric__Dự phòng bào hành sản phẩm ngăn hạn VND,numeric__Bảo lãnh cho các khoản cho sinh viên vay dài hạn VND,numeric__Tổng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,3.365.602.298,12.905.000,3.378.507.298,3365602298.0,12905000.0,3378507298.0
Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,6.785.044.863,-,6.785.044.863,6785044863.0,,6785044863.0
Các khoản dự phòng đã sử dụng/hoàn nhập,Các khoản dự phòng đã sử dụng/hoàn nhập,Các khoản dự phòng đã sử dụng/hoàn nhập,(2.305.796.863),-,(2.305.796.863),-2305796863.0,,-2305796863.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,7.844.850.298,12.905.000,7.857.755.298,7844850298.0,12905000.0,7857755298.0
