row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thăng dưvốn cổ phầnVND,Chênh lệchty giá hồi đoai (*)VND,Quỹ đầu tưphát triển vàdự phòng tài chínhVND,Quỹ khác thuộcvốn chủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ du trữ bắtbuộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thăng dưvốn cổ phầnVND,numeric__Chênh lệchty giá hồi đoai (*)VND,numeric__Quỹ đầu tưphát triển vàdự phòng tài chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ du trữ bắtbuộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01/01/2025,Tại ngày 01/01/2025,Tại ngày 01/01/2025,7.423.227.640.000,7.310.458.742.807,15.445.192.000,2.933.853.033.569,103.568.802.818,4.007.066.089.089(783.224.748.303),797.932.384.636,974.335.175.004,23.565.887.059.923(783.224.748.303),7423227640000.0,7310458742807.0,15445192000.0,2933853033569.0,103568802818.0,,797932384636.0,974335175004.0,
Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,Cổ tức chia cho cổ đông,-,-,-,-,-,(783.224.748.303),-,-,-,,,,,,-783224748303.0,,,
Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,Trích quỹ khen thưởngphúc lợi,-,-,-,-,-,(145.896.617.372),-,(4.136.952.057),(150.033.569.429),,,,,,-145896617372.0,,-4136952057.0,-150033569429.0
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,-,-,(42.925.592.493),-,-,(42.925.592.493),,,,,,-42925592493.0,,,-42925592493.0
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,-,-,(102.971.024.879),-,(4.136.952.057),(107.107.976.936),,,,,,-102971024879.0,,-4136952057.0,-107107976936.0
Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,Trích lập quỹ đầu tư pháttriển,-,-,-,936.416.013.486,-,(936.416.013.486),-,-,-,,,,936416013486.0,,-936416013486.0,,,
Của công ty mẹ (***),Của công ty mẹ (***),Của công ty mẹ (***),-,-,-,354.054.844.311,-,(354.054.844.311),-,-,-,,,,354054844311.0,,-354054844311.0,,,
Của các công ty con,Của các công ty con,Của các công ty con,-,-,-,582.361.169.175,-,(582.361.169.175),-,-,-,,,,582361169175.0,,-582361169175.0,,,
Chi thưởng và thủ lao Hộidồng thành viên và Kiểmsoat viên của các Công tycon,Chi thưởng và thủ lao Hộidồng thành viên và Kiểmsoat viên của các Công tycon,Chi thưởng và thủ lao Hộidồng thành viên và Kiểmsoat viên của các Công tycon,-,-,-,-,-,(1.236.858.382),-,(827.390.411),(2.064.248.793),,,,,,-1236858382.0,,-827390411.0,-2064248793.0
Chi trả cổ tức cho cổ đôngkhông kiểm soát,Chi trả cổ tức cho cổ đôngkhông kiểm soát,Chi trả cổ tức cho cổ đôngkhông kiểm soát,-,-,-,-,-,-,-,(24.738.438.132),(24.738.438.132),,,,,,,,-24738438132.0,-24738438132.0
Lợi nhuận tăng trong nâm(Sử dụng)/Trích lập cácquỹ dự trữ,Lợi nhuận tăng trong nâm(Sử dụng)/Trích lập cácquỹ dự trữ,Lợi nhuận tăng trong nâm(Sử dụng)/Trích lập cácquỹ dự trữ,-,-,-,-,-,2.836.613.711.079,-,84.958.048.274,2.921.571.759.353,,,,,,2836613711079.0,,84958048274.0,2921571759353.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,(1.050.000.000),-,(15.016.880.061)(45.585.448.268),15.016.880.061,-,(1.050.000.000)(46.006.360.294),,,,-1050000000.0,,,15016880061.0,,
Tại ngày 31/12/2025,Tại ngày 31/12/2025,Tại ngày 31/12/2025,7.423.227.640.000,7.310.458.742.807,15.445.192.000,3.869.219.047.055,103.568.802.818,4.916.303.234.296,812.949.264.697,1.029.169.530.652,25.480.341.454.325,7423227640000.0,7310458742807.0,15445192000.0,3869219047055.0,103568802818.0,4916303234296.0,812949264697.0,1029169530652.0,25480341454325.0
