row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024
31,31,31,Chi khác hoạt động bảo hiểm gốc (31 = 32 + 33),,(4.587.029.663.396),(4.079.017.436.980),,,-4587029663396.0,-4079017436980.0
32,32,32,Chi hoa hồng,,(2.865.485.426.969),(2.489.113.008.960),,,-2865485426969.0,-2489113008960.0
33,33,33,Chi khác hoạt động kinh doanh bảo hiểm,29,(1.721.544.236.427),(1.589.904.428.020),,29.0,-1721544236427.0,-1589904428020.0
41,41,41,Tổng chi trực tiếp hoạt động kinh doanh bảo hiểm (41 = 29 + 30 + 31),,(39.710.305.072.873),(40.792.288.551.503),,,-39710305072873.0,-40792288551503.0
42,42,42,Lợi nhuận/(Lỗ) gộp hoạt động kinh doanh bảo hiểm (42 = 15 + 41),,1.237.946.328.941,(969.112.867.855),,,1237946328941.0,-969112867855.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,590.242.546.152,555.874.347.470,,,590242546152.0,555874347470.0
43.2,43.2,43.2,Chi phí hoạt động khác,,(630.861.954.446),(545.882.462.285),,,-630861954446.0,-545882462285.0
43,43,43,(Lỗ)/Lợi nhuận thuần tử các hoạt động khác (43 = 43.1 + 43.2),30,(40.619.408.294),9.991.885.185,,30.0,-40619408294.0,9991885185.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,31.1,14.039.756.364.318,12.689.327.095.724,,311.0,14039756364318.0,12689327095724.0
44.2,44.2,44.2,Chi phí hoạt động tài chính,31.2,(2.919.290.603.309),(2.115.731.389.939),,312.0,-2919290603309.0,-2115731389939.0
44,44,44,Lợi nhuận hoạt động tài chính (44 = 44.1 + 44.2),,11.120.465.761.009,10.573.595.705.785,,,11120465761009.0,10573595705785.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơn vị kinh doanh đồng kiểm soát",14.3.1,104.096.487.241,94.085.046.978,,1431.0,104096487241.0,94085046978.0
46,46,46,Chi phí bán hàng,32,(1.674.852.380.539),(1.346.798.811.485),,32.0,-1674852380539.0,-1346798811485.0
47,47,47,Chi phí quản lý doanh nghiệp,33,(7.213.126.135.849),(5.724.600.399.115),,33.0,-7213126135849.0,-5724600399115.0
48.1,48.1,48.1,Thu nhập khác,,24.821.760.709,29.836.692.724,,,24821760709.0,29836692724.0
48.2,48.2,48.2,Chi phí khác,,(4.301.141.089),(3.825.774.921),,,-4301141089.0,-3825774921.0
48,48,48,Lợi nhuận khác (48 = 48.1 + 48.2),34,20.520.619.620,26.010.917.803,,34.0,20520619620.0,26010917803.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ (50 = 42 + 43 + 44 + 45 + 46 + 47 + 48),,3.554.431.272.129,2.663.171.477.296,,,3554431272129.0,2663171477296.0
51,51,51,Chi phí thuế thu nhập doanh nghiệp hiện hành,16.1,(635.223.534.848),(464.527.211.119),,161.0,-635223534848.0,-464527211119.0
52,52,52,Thu nhập/(chi phí) thuế thu nhập doanh nghiệp hoãn lại,16.2,2.364.022.072,(4.475.662.847),,162.0,2364022072.0,-4475662847.0
