row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2025 VND,Ngày 31 tháng 12 năm 2024 VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025 VND,numeric__Ngày 31 tháng 12 năm 2024 VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,14.1,,,141.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,3.528.252.540.349,3.207.279.295.300,,3528252540349.0,3207279295300.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,63.827.838.222,80.044.359.555,,63827838222.0,80044359555.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,325.065.596.873,291.879.903.606,,325065596873.0,291879903606.0
Trái phiếu,Trái phiếu,Trái phiếu,,165.983.452.280,81.164.953.403,,165983452280.0,81164953403.0
,,,,4.083.129.427.724,3.660.368.511.864,,4083129427724.0,3660368511864.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,,(169.920.276.247),(202.979.291.840),,-169920276247.0,-202979291840.0
,,,,3.913.209.151.477,3.457.389.220.024,,3913209151477.0,3457389220024.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,14.2,,,142.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,123.468.774.262.522,100.440.649.810.502,,123468774262522.0,100440649810502.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,119.262.747.357.265,96.311.405.314.136,,119262747357265.0,96311405314136.0
- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,- Tạm ứng từ giá trị hoàn lại,,4.206.026.905.257,4.129.244.496.366,,4206026905257.0,4129244496366.0
Dải hạn,Dải hạn,Dải hạn,,134.813.288.081.242,123.543.648.618.749,,134813288081242.0,123543648618749.0
- Tiền gửi,- Tiền gửi,- Tiền gửi,,26.951.375.436.468,28.255.853.641.765,,26951375436468.0,28255853641765.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,107.861.912.644.774,95.287.794.976.984,,107861912644774.0,95287794976984.0
,,,,258.282.062.343.764,223.984.298.429.251,,258282062343764.0,223984298429251.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,14.3,,,143.0,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",14.3.1,2.925.861.993.328,2.884.915.841.223,1431.0,2925861993328.0,2884915841223.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,14.3.2,1.499.836.683.418,1.279.365.243.151,1432.0,1499836683418.0,1279365243151.0
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,(85.404.841.184),(62.506.533.483),,-85404841184.0,-62506533483.0
,,,,4.340.293.835.562,4.101.774.550.891,,4340293835562.0,4101774550891.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,266.535.565.330.803,231.543.462.200.166,,266535565330803.0,231543462200166.0
