row_label_raw,row_label_full,col_0,Số vốn góp VND,Tỷ lệ trên vốn điều lệ,numeric__Số vốn góp VND,numeric__Tỷ lệ trên vốn điều lệ
Đầu tư trực tiếp của Tập đoàn Bảo Việt,Đầu tư trực tiếp của Tập đoàn Bảo Việt,Đầu tư trực tiếp của Tập đoàn Bảo Việt,420.000.000.000,42%,420000000000.0,0.42
Đầu tư gián tiếp qua các công ty con,Đầu tư gián tiếp qua các công ty con,Đầu tư gián tiếp qua các công ty con,,,,
- Bảo Việt Nhân thọ,Đầu tư gián tiếp qua các công ty con > - Bảo Việt Nhân thọ,- Bảo Việt Nhân thọ,350.000.000.000,35%,350000000000.0,0.35
- Bảo hiểm Bảo Việt,Đầu tư gián tiếp qua các công ty con > - Bảo hiểm Bảo Việt,- Bảo hiểm Bảo Việt,150.000.000.000,15%,150000000000.0,0.15
- BVSC,Đầu tư gián tiếp qua các công ty con > - BVSC,- BVSC,80.000.000.000,8%,80000000000.0,0.08
TỔNG CỘNG,Đầu tư gián tiếp qua các công ty con > TỔNG CỘNG,TỔNG CỘNG,1.000.000.000.000,100%,1000000000000.0,1.0
