row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025 > Giá gốc,Ngày 31 tháng 12 năm 2025 > Giá trị ghi sổ,Ngày 31 tháng 12 năm 2024 > Giá gốc,Ngày 31 tháng 12 năm 2024 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2025 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2024 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),119.623.669.533.950,119.262.747.357.265,96.754.005.314.136,96.311.405.314.136,119623669533950.0,119262747357265.0,96754005314136.0,96311405314136.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,834.146.050.536,-,1.024.752.316.500,-,834146050536.0,,1024752316500.0,
- Trái phiếu doanh nghiệp,Ngắn hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,834.146.050.536,-,1.024.752.316.500,-,834146050536.0,,1024752316500.0,
Tạm ứng từ giá trị hoàn lại (iv),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (iv),Tạm ứng từ giá trị hoàn lại (iv),4.206.026.905.257,4.206.026.905.257,4.129.244.496.366,4.129.244.496.366,4206026905257.0,4206026905257.0,4129244496366.0,4129244496366.0
,,,124.663.842.489.743,123.468.774.262.522,101.908.002.127.002,100.440.649.810.502,124663842489743.0,123468774262522.0,101908002127002.0,100440649810502.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),26.951.375.436.468,26.951.375.436.468,28.255.853.641.765,28.255.853.641.765,26951375436468.0,26951375436468.0,28255853641765.0,28255853641765.0
Trái phiếu (iii),Dài hạn > Trái phiếu (iii),Trái phiếu (iii),107.861.912.644.774,107.861.912.644.774,95.287.794.976.984,95.287.794.976.984,107861912644774.0,107861912644774.0,95287794976984.0,95287794976984.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,36.590.007.303.454,36.590.007.303.454,26.291.302.944.892,26.291.302.944.892,36590007303454.0,36590007303454.0,26291302944892.0,26291302944892.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,71.271.905.341.320,71.271.905.341.320,68.996.492.032.092,68.996.492.032.092,71271905341320.0,71271905341320.0,68996492032092.0,68996492032092.0
,,,134.813.288.081.242,134.813.288.081.242,123.543.648.618.749,123.543.648.618.749,134813288081242.0,134813288081242.0,123543648618749.0,123543648618749.0
