row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2024,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2025,numeric__Ngày 31 tháng 12 năm 2024
100,100,100,A. TÀI SẢN NGẤN HẠN,,150.363.051.574.128,121.226.741.291.519,,,150363051574128.0,121226741291519.0
110,110,110,I. Tiền và các khoản tương đương tiền,5,4.194.682.648.364,1.464.088.127.113,,5.0,4194682648364.0,1464088127113.0
111,111,111,1. Tiền,,1.302.431.953.192,1.274.088.127.113,,,1302431953192.0,1274088127113.0
112,112,112,2. Các khoản tương đương tiền,,2.892.250.695.172,190.000.000.000,,,2892250695172.0,190000000000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,,127.381.983.413.999,103.898.039.030.526,,,127381983413999.0,103898039030526.0
121,121,121,1. Chủng khoán kinh doanh,14.1,4.083.129.427.724,3.660.368.511.864,,141.0,4083129427724.0,3660368511864.0
122,122,122,2. Dự phòng giảm giả chứng khoán kinh doanh,,(169.920.276.247),(202.979.291.840),,,-169920276247.0,-202979291840.0
123,123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,14.2,123.468.774.262.522,100.440.649.810.502,,142.0,123468774262522.0,100440649810502.0
130,130,130,III. Các khoản phải thu ngắn hạn,6.1,14.292.369.235.960,11.535.416.562.019,,61.0,14292369235960.0,11535416562019.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,,9.601.934.425.230,7.892.192.217.650,,,9601934425230.0,7892192217650.0
131.1,131.1,131.1,1.1 Phải thu về hoạt động bảo hiểm,,1.243.599.853.284,1.265.479.668.075,,,1243599853284.0,1265479668075.0
131.2,131.2,131.2,1.2 Phải thu về hoạt động đầu tư tài chính,,8.358.334.571.946,6.626.712.549.575,,,8358334571946.0,6626712549575.0
132,132,132,2. Trả trước cho người bán ngắn hạn,,30.991.819.968,32.063.030.043,,,30991819968.0,32063030043.0
135,135,135,3. Phải thu về cho vay ngắn hạn,,4.610.569.630.646,3.547.995.002.349,,,4610569630646.0,3547995002349.0
136,136,136,4. Phải thu ngắn hạn khác,,593.582.502.481,310.909.954.613,,,593582502481.0,310909954613.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(544.823.774.050),(247.913.748.321),,,-544823774050.0,-247913748321.0
139,139,139,6. Tài sản thiếu chờ xử lý,,114.631.685,170.105.685,,,114631685.0,170105685.0
140,140,140,IV. Hàng tồn kho,7,68.010.867.539,100.479.759.917,,7.0,68010867539.0,100479759917.0
150,150,150,V. Tài sản ngắn hạn khác,,743.595.209.649,670.583.415.267,,,743595209649.0,670583415267.0
151,151,151,1. Chi phí trả trước ngắn hạn,,731.394.413.243,660.538.154.184,,,731394413243.0,660538154184.0
151.1,151.1,151.1,1.1 Chi phí hoa hồng chưa phân bổ,8,619.813.322.942,581.867.688.103,,8.0,619813322942.0,581867688103.0
151.2,151.2,151.2,1.2 Chi phí trả trước ngắn hạn khác,9,111.581.090.301,78.670.466.081,,9.0,111581090301.0,78670466081.0
152,152,152,2. Thuế GTGT được khấu trừ,,39.931.055,36.415.365,,,39931055.0,36415365.0
153,153,153,3. Thuế và các khoản phải thu Nhà nước,16,9.014.490.097,4.809.122.226,,16.0,9014490097.0,4809122226.0
155,155,155,4. Tài sản ngắn hạn khác,,3.146.375.254,5.199.723.492,,,3146375254.0,5199723492.0
190,190,190,VI. Tài sản tái bảo hiểm,,3.682.410.198.617,3.558.134.396.677,,,3682410198617.0,3558134396677.0
191,191,191,1. Dự phòng phí nhượng tái bảo hiểm,24,1.890.740.497.412,1.686.897.782.968,,24.0,1890740497412.0,1686897782968.0
192,192,192,2. Dự phòng bởi thường nhượng tái bảo hiểm,24,1.791.669.701.205,1.871.236.613.709,,24.0,1791669701205.0,1871236613709.0
