row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Giá trị ghi sổ > Nguyên giá,Giá trị ghi sổ > Dự phòng giảm giá trị,Giá trị ghi sổ > Giá trị thuần,Đơn vị: triệu VND > Giá trị hợp lý,numeric__Giá trị ghi sổ > Nguyên giá,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị,numeric__Giá trị ghi sổ > Giá trị thuần,numeric__Đơn vị: triệu VND > Giá trị hợp lý
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,262.946.767,(1.195.068),261.751.699,266.513.525,262946767.0,-1195068.0,261751699.0,266513525.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,151.320.056,(360.922),150.959.134,152.007.358,151320056.0,-360922.0,150959134.0,152007358.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,111.626.711,(834.146),110.792.565,114.506.167,111626711.0,-834146.0,110792565.0,114506167.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,4.083.130,(169.920),3.913.210,7.120.607,4083130.0,-169920.0,3913210.0,7120607.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,3.528.253,(146.588),3.381.665,6.220.438,3528253.0,-146588.0,3381665.0,6220438.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,63.828,(23.309),40.519,-,63828.0,-23309.0,40519.0,
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,325.066,(23),325.043,734.173,325066.0,-23.0,325043.0,734173.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,165.983,-,165.983,165.996,165983.0,,165983.0,165996.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,1.329.450,(81.877),1.247.573,2.351.908,1329450.0,-81877.0,1247573.0,2351908.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,9.451.969,(96.701),9.355.268,9.355.268,9451969.0,-96701.0,9355268.0,9355268.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,796.024,(102.414),693.610,692.909,796024.0,-102414.0,693610.0,692909.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,447.576,(10.173),437.403,437.403,447576.0,-10173.0,437403.0,437403.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,3.682.410,-,3.682.410,3.682.410,3682410.0,,3682410.0,3682410.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,165.056,(335.536),(170.480),(170.480),165056.0,-335536.0,-170480.0,-170480.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",77.804,-,77.804,77.804,77804.0,,77804.0,77804.0
- Phải thu cố tức,TÀI SẢN TÀI CHÍNH > - Phải thu cố tức,- Phải thu cố tức,3.243,-,3.243,3.243,3243.0,,3243.0,3243.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,84.009,(335.536),(251.527),(251.527),84009.0,-335536.0,-251527.0,-251527.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.194.683,-,4.194.683,4.194.683,4194683.0,,4194683.0,4194683.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,287.097.065,(1.991.689),285.105.376,294.178.233,287097065.0,-1991689.0,285105376.0,294178233.0
