row_label_raw,row_label_full,Đơn vị được đầu tư,Vốn góp của Tập đoàn,Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2024,numeric__Vốn góp của Tập đoàn,numeric__Ngày 31 tháng 12 năm 2025,numeric__Ngày 31 tháng 12 năm 2024
Long Việt,Long Việt,Long Việt,29.269.440.000,27.408.242.674,27.245.370.339,29269440000.0,27408242674.0,27245370339.0
Tokio Marine Việt Nam,Tokio Marine Việt Nam,Tokio Marine Việt Nam,147.000.000.000,321.649.937.500,312.127.796.919,147000000000.0,321649937500.0,312127796919.0
Bảo Việt SCIC,Bảo Việt SCIC,Bảo Việt SCIC,70.000.000.000,72.752.248.219,72.754.474.182,70000000000.0,72752248219.0,72754474182.0
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,1.560.000.000.000,1.944.940.285.838,1.913.353.066.497,1560000000000.0,1944940285838.0,1913353066497.0
Trung Nam Phú Quốc,Trung Nam Phú Quốc,Trung Nam Phú Quốc,431.200.000.000,431.156.341.401,431.178.134.253,431200000000.0,431156341401.0,431178134253.0
PLT,PLT,PLT,97.650.000.000,127.954.937.696,128.256.999.033,97650000000.0,127954937696.0,128256999033.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.335.119.440.000,2.925.861.993.328,2.884.915.841.223,2335119440000.0,2925861993328.0,2884915841223.0
,,,,Năm nay,Năm trước,,,
Tại ngày 01 tháng 01,Tại ngày 01 tháng 01,Tại ngày 01 tháng 01,,2.884.915.841.223,2.844.300.042.626,,2884915841223.0,2844300042626.0
Cổ tức được chia trong năm,Cổ tức được chia trong năm,Cổ tức được chia trong năm,,(63.150.335.136),(53.469.248.381),,-63150335136.0,-53469248381.0
Lợi nhuận thuộc về Tập đoàn,Lợi nhuận thuộc về Tập đoàn,Lợi nhuận thuộc về Tập đoàn,,104.096.487.241,94.085.046.978,,104096487241.0,94085046978.0
Tại ngày 31 tháng 12,Tại ngày 31 tháng 12,Tại ngày 31 tháng 12,,2.925.861.993.328,2.884.915.841.223,,2925861993328.0,2884915841223.0
