row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND
Chuyển phí nhượng tái bảo hiểm nhân thọ,Chuyển phí nhượng tái bảo hiểm nhân thọ,Chuyển phí nhượng tái bảo hiểm nhân thọ,Chuyển phí nhượng tái bảo hiểm nhân thọ,Chuyển phí nhượng tái bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Chuyển phí nhượng tái bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,151.230.726,183.070.177,151230726.0,183070177.0
Bảo hiểm liên kết chung,Chuyển phí nhượng tái bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,7.543.975.214,8.602.484.232,7543975214.0,8602484232.0
Các sản phẩm bảo hiểm nhân thọ khác,Chuyển phí nhượng tái bảo hiểm nhân thọ > Các sản phẩm bảo hiểm nhân thọ khác,Các sản phẩm bảo hiểm nhân thọ khác,(10.473.229.950),3.175.237.656,-10473229950.0,3175237656.0
,,,(2.778.024.010),11.960.792.065,-2778024010.0,11960792065.0
Chuyển phí nhượng tái bảo hiểm phinhân thọ,Chuyển phí nhượng tái bảo hiểm phinhân thọ,Chuyển phí nhượng tái bảo hiểm phinhân thọ,Chuyển phí nhượng tái bảo hiểm phinhân thọ,Chuyển phí nhượng tái bảo hiểm phinhân thọ,,
Bảo hiểm trách nhiệm,Chuyển phí nhượng tái bảo hiểm phinhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,619.116.383.760,633.168.212.666,619116383760.0,633168212666.0
Bảo hiểm tài sản,Chuyển phí nhượng tái bảo hiểm phinhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,2.742.048.677.847,2.431.909.523.610,2742048677847.0,2431909523610.0
Bảo hiểm con người,Chuyển phí nhượng tái bảo hiểm phinhân thọ > Bảo hiểm con người,Bảo hiểm con người,450.135.546.714,435.281.664.642,450135546714.0,435281664642.0
,,,3.811.300.608.321,3.500.359.400.918,3811300608321.0,3500359400918.0
TỔNG CỘNG,Chuyển phí nhượng tái bảo hiểm phinhân thọ > TỔNG CỘNG,TỔNG CỘNG,3.808.522.584.311,3.512.320.192.983,3808522584311.0,3512320192983.0
