row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Chưa quá hạn và không giám giá trị,Quá hạn nhưng không giám giá trị riêng lẻ,Bị giảm giá trị riêng lẻ (*),Đơn vị: triệu VND Tổng,numeric__Chưa quá hạn và không giám giá trị,numeric__Quá hạn nhưng không giám giá trị riêng lẻ,numeric__Bị giảm giá trị riêng lẻ (*),numeric__Đơn vị: triệu VND Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,4.194.683,-,-,4.194.683,4194683.0,,,4194683.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,611.804,72.730,9.075,693.609,611804.0,72730.0,9075.0,693609.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,405.784,19.601,12.018,437.403,405784.0,19601.0,12018.0,437403.0
Tải sản tái bảo hiểm,TÀI SẢN > Tải sản tái bảo hiểm,Tải sản tái bảo hiểm,3.682.410,-,-,3.682.410,3682410.0,,,3682410.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,81.047,-,-,81.047,81047.0,,,81047.0
"- Các khoản cảm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cảm cố, ký quỹ, ký cược","- Các khoản cảm cố, ký quỹ, ký cược",77.804,-,-,77.804,77804.0,,,77804.0
- Phải thu cổ tức,TÀI SẢN > - Phải thu cổ tức,- Phải thu cổ tức,3.243,-,-,3.243,3243.0,,,3243.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,261.732.535,-,-,261.732.535,261732535.0,,,261732535.0
- Hợp đồng tiến gửi có kỳ hạn,TÀI SẢN > - Hợp đồng tiến gửi có kỳ hạn,- Hợp đồng tiến gửi có kỳ hạn,150.959.133,-,-,150.959.133,150959133.0,,,150959133.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,110.773.402,-,-,110.773.402,110773402.0,,,110773402.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,165.983,-,-,165.983,165983.0,,,165983.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,165.983,-,-,165.983,165983.0,,,165983.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,9.426.431,-,-,9.426.431,9426431.0,,,9426431.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,(251.526),-,-,(251.526),-251526.0,,,-251526.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,280.049.151,92.331,21.093,280.162.575,280049151.0,92331.0,21093.0,280162575.0
