row_label_raw,row_label_full,col_0,Dư phòng toán học VND,Dư phòng phí chưa được hưởng VND,Dư phòng bồi thường VND,Dư phòng chia lãi VND,Dư phòng lãi cam kết đầu tư tối thiểu VND,Dư phòng đảm bảo cân đối VND,Dư phòng đào động lớn VND,Tổng công VND,numeric__Dư phòng toán học VND,numeric__Dư phòng phí chưa được hưởng VND,numeric__Dư phòng bồi thường VND,numeric__Dư phòng chia lãi VND,numeric__Dư phòng lãi cam kết đầu tư tối thiểu VND,numeric__Dư phòng đảm bảo cân đối VND,numeric__Dư phòng đào động lớn VND,numeric__Tổng công VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31/12/2024,Bảo hiểm nhân thọ > Ngày 31/12/2024,Ngày 31/12/2024,157.148.585.024.401,242.531.152.855,68.617.657.754,3.521.002.598.958,16.741.736.693.139,162.249.272.468,-,177.884.722.399.575,157148585024401.0,242531152855.0,68617657754.0,3521002598958.0,16741736693139.0,162249272468.0,,177884722399575.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,14.260.745.073.169,32.774.113.084,(9.738.182.322),453.180.529.150,(197.386.283.078),26.955.599.615,-,14.566.530.849.618,14260745073169.0,32774113084.0,-9738182322.0,453180529150.0,-197386283078.0,26955599615.0,,14566530849618.0
Ngày 31/12/2025,Bảo hiểm nhân thọ > Ngày 31/12/2025,Ngày 31/12/2025,171.409.330.097.570,275.305.265.939,58.879.475.432,3.974.183.128.108,16.544.350.410.061,189.204.872.083,-,192.451.253.249.193,171409330097570.0,275305265939.0,58879475432.0,3974183128108.0,16544350410061.0,189204872083.0,,192451253249193.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,,
Ngày 31/12/2024,Bảo hiểm phi nhân thọ > Ngày 31/12/2024,Ngày 31/12/2024,-,5.209.277.210.371,3.043.167.026.696,-,-,250.026.183.799,186.907.656.143,8.689.378.077.009,,5209277210371.0,3043167026696.0,,,250026183799.0,186907656143.0,8689378077009.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,355.035.213.874,121.507.660.401,-,-,79.327.119.675,(14.015.820.679),541.854.173.271,,355035213874.0,121507660401.0,,,79327119675.0,-14015820679.0,541854173271.0
Ngày 31/12/2025,Bảo hiểm phi nhân thọ > Ngày 31/12/2025,Ngày 31/12/2025,-,5.564.312.424.245,3.164.674.687.097,-,-,329.353.303.474,172.891.835.464,9.231.232.250.280,,5564312424245.0,3164674687097.0,,,329353303474.0,172891835464.0,9231232250280.0
Ngày 31/12/2024,Bảo hiểm phi nhân thọ > Ngày 31/12/2024,Ngày 31/12/2024,157.148.585.024.401,5.451.808.363.226,3.111.784.684.450,3.521.002.598.958,16.741.736.693.139,412.275.456.267,186.907.656.143,186.574.100.476.584,157148585024401.0,5451808363226.0,3111784684450.0,3521002598958.0,16741736693139.0,412275456267.0,186907656143.0,186574100476584.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,14.260.745.073.169,387.809.326.958,111.769.478.079,453.180.529.150,(197.386.283.078),106.282.719.290,(14.015.820.679),15.108.385.022.589,14260745073169.0,387809326958.0,111769478079.0,453180529150.0,-197386283078.0,106282719290.0,-14015820679.0,15108385022589.0
Ngày 31/12/2025,Bảo hiểm phi nhân thọ > Ngày 31/12/2025,Ngày 31/12/2025,171.409.330.097.570,5.839.617.690.184,3.223.554.162.529,3.974.183.128.108,16.544.350.410.061,518.558.175.557,172.891.835.464,201.682.485.499.473,171409330097570.0,5839617690184.0,3223554162529.0,3974183128108.0,16544350410061.0,518558175557.0,172891835464.0,201682485499473.0
