row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2025VND,Ngày 31 tháng 12năm 2024VND,numeric__Ngày 31 tháng 12năm 2025VND,numeric__Ngày 31 tháng 12năm 2024VND
Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm,,
Phải thu hoạt động bảo hiểm gốc,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,510.771.742.377,438.768.633.188,510771742377.0,438768633188.0
Phải thu hoạt động nhận tải bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhận tải bảo hiểm,Phải thu hoạt động nhận tải bảo hiểm,60.908.478.774,74.240.702.879,60908478774.0,74240702879.0
Phải thu hoạt động nhượng tải bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu hoạt động nhượng tải bảo hiểm,Phải thu hoạt động nhượng tải bảo hiểm,386.667.274.536,437.834.878.182,386667274536.0,437834878182.0
Phải thu khác nhượng tải bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác nhượng tải bảo hiểm,Phải thu khác nhượng tải bảo hiểm,71.811.964.072,11.735.525.602,71811964072.0,11735525602.0
Phải thu liên quan đến động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu liên quan đến động bảo hiểm,Phải thu liên quan đến động bảo hiểm,208.371.575.872,298.390.942.918,208371575872.0,298390942918.0
Phải thu khác hoạt động bảo hiểm,Phải thu về hoạt động bảo hiểm > Phải thu khác hoạt động bảo hiểm,Phải thu khác hoạt động bảo hiểm,5.068.817.653,4.508.985.306,5068817653.0,4508985306.0
,,,1.243.599.853.284,1.265.479.668.075,1243599853284.0,1265479668075.0
Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,Phải thu về hoạt động đầu tư tài chính,,
Phải thu cổ tức,Phải thu về hoạt động đầu tư tài chính > Phải thu cổ tức,Phải thu cổ tức,3.242.650.500,7.891.407.300,3242650500.0,7891407300.0
Phải thu lãi tiền gửi ngân hàng,Phải thu về hoạt động đầu tư tài chính > Phải thu lãi tiền gửi ngân hàng,Phải thu lãi tiền gửi ngân hàng,4.754.262.899.839,3.450.806.584.888,4754262899839.0,3450806584888.0
