row_label_raw,row_label_full,Tên công ty,Địa chỉ,Lĩnh vực kinh doanh,Tỷ lệ sở hữu của Tập đoàn,Quyền biểu quyết của Tập đoàn,numeric__Địa chỉ,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu của Tập đoàn,numeric__Quyền biểu quyết của Tập đoàn
"Tổng Công ty Bảo hiểm Bảo Việt (""Bảo hiểm Bảo Việt"")","Tổng Công ty Bảo hiểm Bảo Việt (""Bảo hiểm Bảo Việt"")","Tổng Công ty Bảo hiểm Bảo Việt (""Bảo hiểm Bảo Việt"")","7 Lý Thường Kiệt, phường Cửa Nam, Hà Nội","Bảo hiểm tài sản, bảo hiểm trách nhiệm và bảo hiểm con người, kính doanh tái bảo hiểm và giám định tổn thất",100%,100%,,,1.0,1.0
"Tổng Công ty Bảo Việt Nhân thọ (""Bảo Việt Nhân thọ"")","Tổng Công ty Bảo Việt Nhân thọ (""Bảo Việt Nhân thọ"")","Tổng Công ty Bảo Việt Nhân thọ (""Bảo Việt Nhân thọ"")","Tầng 37 Keangnam Hà Nội Landmark Tower, phường Yên Hòa, Hà Nội",Kinh doanh bảo hiểm nhân thọ và kinh doanh tái bảo hiểm,100%,100%,,,1.0,1.0
"Công ty TNHH Quản lý Quỹ Bảo Việt (""BVF"")","Công ty TNHH Quản lý Quỹ Bảo Việt (""BVF"")","Công ty TNHH Quản lý Quỹ Bảo Việt (""BVF"")","Tầng 12, số 83B phố Lý Thường Kiệt, phường Cửa Nam, Hà Nội","Quản lý quỹ đầu tư chứng khoán, quản lý danh mục đầu tư chứng khoán, tư vấn đầu tư chứng khoán và các hoạt động kinh doanh khác",100%,100%,,,1.0,1.0
"Công ty TNHH MTV Đầu tư Bảo Việt (""BVInvest"")","Công ty TNHH MTV Đầu tư Bảo Việt (""BVInvest"")","Công ty TNHH MTV Đầu tư Bảo Việt (""BVInvest"")","71 Ngõ Sỹ Liên, phường Văn Miểu – Quốc Tư Giám, Hà Nội","Kinh doanh bất động sản, tư vấn đầu tư xây dựng và cung cấp máy móc thiết bị",100%,100%,,,1.0,1.0
"Công ty Cổ phần Chứng khoán Bảo Việt (""BVSC"")","Công ty Cổ phần Chứng khoán Bảo Việt (""BVSC"")","Công ty Cổ phần Chứng khoán Bảo Việt (""BVSC"")","8 Lê Thái Tổ, phường Hoàn Kiểm, Hà Nội","Môi giới và lưu kỳ chứng khoán, tự doanh và bảo lãnh phát hành chứng khoán, tư vấn tài chính và đầu tư chứng khoán","59,92%","59,92%",,,0.5992000000000001,0.5992000000000001
"Công ty TNHH Bảo Việt - Âu Lạc (""Bảo Việt - Âu Lạc"")","Công ty TNHH Bảo Việt - Âu Lạc (""Bảo Việt - Âu Lạc"")","Công ty TNHH Bảo Việt - Âu Lạc (""Bảo Việt - Âu Lạc"")","Hà Liễu, Phường Phương Liễu, tĩnh Bắc Ninh",Kinh doanh hướng nghiệp lái xe,60%,60%,,,0.6,0.6
