row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2025 > Giá gốc,Ngày 31 tháng 12 năm 2025 > Giá trị ghi số(sau khi trích lập dự phòng),Ngày 31 tháng 12 năm 2024 > Giá gốc,Ngày 31 tháng 12 năm 2024 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2025 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2024 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị ghi số(sau khi trích lập dự phòng)
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,,,
Ngân hàng Thương mại Cổ phần Á Châu,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng Thương mại Cổ phần Á Châu,815.524.552.544,815.271.987.923,810.611.525.339,810.611.525.339,815524552544.0,815271987923.0,810611525339.0,810611525339.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Cổ phiếu niêm yết > Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,385.035.221.328,385.035.221.328,387.723.702.616,387.723.702.616,385035221328.0,385035221328.0,387723702616.0,387723702616.0
Công ty Cổ phần Sửa Việt Nam,Cổ phiếu niêm yết > Công ty Cổ phần Sửa Việt Nam,Công ty Cổ phần Sửa Việt Nam,419.060.416.045,311.873.566.379,416.101.571.597,318.775.453.600,419060416045.0,311873566379.0,416101571597.0,318775453600.0
Cổ phiếu niêm yết khác,Cổ phiếu niêm yết > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,1.908.632.350.432,1.869.483.691.894,1.592.842.495.748,1.562.453.097.198,1908632350432.0,1869483691894.0,1592842495748.0,1562453097198.0
,,,3.528.252.540.349,3.381.664.467.524,3.207.279.295.300,3.079.563.778.753,3528252540349.0,3381664467524.0,3207279295300.0,3079563778753.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,,,
Công ty Cổ phần Thủy sản Cà Mau,Cổ phiếu chưa niêm yết > Công ty Cổ phần Thủy sản Cà Mau,Công ty Cổ phần Thủy sản Cà Mau,23.876.923.077,18.362.100.000,24.000.000.000,18.059.925.000,23876923077.0,18362100000.0,24000000000.0,18059925000.0
Công ty cổ phần Vận tải biển và Thương mại Phương Đông,Cổ phiếu chưa niêm yết > Công ty cổ phần Vận tải biển và Thương mại Phương Đông,Công ty cổ phần Vận tải biển và Thương mại Phương Đông,7.000.000.000,571.666.667,7.000.000.000,669.666.667,7000000000.0,571666667.0,7000000000.0,669666667.0
Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam,Cổ phiếu chưa niêm yết > Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam,Tổng công ty Máy động lực và Máy nông nghiệp Việt Nam,8.683.450.000,8.523.631.700,-,-,8683450000.0,8523631700.0,,
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,24.267.465.145,13.061.402.387,49.044.359.555,17.118.992.595,24267465145.0,13061402387.0,49044359555.0,17118992595.0
,,,63.827.838.222,40.518.800.754,80.044.359.555,35.848.584.262,63827838222.0,40518800754.0,80044359555.0,35848584262.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,
BVPF,Chứng chỉ quỹ > BVPF,BVPF,77.000.000.000,77.000.000.000,77.000.000.000,77.000.000.000,77000000000.0,77000000000.0,77000000000.0,77000000000.0
BVBF,Chứng chỉ quỹ > BVBF,BVBF,60.000.000.000,60.000.000.000,60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,60000000000.0,60000000000.0
BVFED,Chứng chỉ quỹ > BVFED,BVFED,55.000.000.000,55.000.000.000,55.000.000.000,55.000.000.000,55000000000.0,55000000000.0,55000000000.0,55000000000.0
E1VFVN30,Chứng chỉ quỹ > E1VFVN30,E1VFVN30,58.995.134.927,58.995.134.927,43.387.220.470,43.387.220.470,58995134927.0,58995134927.0,43387220470.0,43387220470.0
Khác,Chứng chỉ quỹ > Khác,Khác,74.070.461.946,74.047.295.992,56.492.683.136,56.492.683.136,74070461946.0,74047295992.0,56492683136.0,56492683136.0
,,,325.065.596.873,325.042.430.919,291.879.903.606,291.879.903.606,325065596873.0,325042430919.0,291879903606.0,291879903606.0
Trải phiếu,Trải phiếu,Trải phiếu,Trải phiếu,Trải phiếu,Trải phiếu,Trải phiếu,,,,
