row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2024VND,Số phải nộp/điềuchính trong nămVND,Số đã nộptrong nămVND,Ngày 31 tháng 12năm 2025VND,numeric__Ngày 31 tháng 12năm 2024VND,numeric__Số phải nộp/điềuchính trong nămVND,numeric__Số đã nộptrong nămVND,numeric__Ngày 31 tháng 12năm 2025VND
Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,Thuế phải thu Nhà nước,,,,
"Thuế thu nhập doanh nghiệp (""TNDN"")","Thuế phải thu Nhà nước > Thuế thu nhập doanh nghiệp (""TNDN"")","Thuế thu nhập doanh nghiệp (""TNDN"")",(4.788.139.706),14.770.118,-,(4.773.369.588),-4788139706.0,14770118.0,,-4773369588.0
"Thuế giả trị gia tăng(""GTGT"")","Thuế phải thu Nhà nước > Thuế giả trị gia tăng(""GTGT"")","Thuế giả trị gia tăng(""GTGT"")",(9.928.370),(71.630),-,(10.000.000),-9928370.0,-71630.0,,-10000000.0
Thuế khác,Thuế phải thu Nhà nước > Thuế khác,Thuế khác,(11.054.150),8.237.753.333,(12.457.819.692),(4.231.120.509),-11054150.0,8237753333.0,-12457819692.0,-4231120509.0
,,,(4.809.122.226),8.252.451.821,(12.457.819.692),(9.014.490.097),-4809122226.0,8252451821.0,-12457819692.0,-9014490097.0
Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,Thuế phải nộp Nhà nước,,,,
Thuế GTGT hàngbản nội địa,Thuế phải nộp Nhà nước > Thuế GTGT hàngbản nội địa,Thuế GTGT hàngbản nội địa,30.795.647.630,500.746.034.639,(476.382.422.220),55.159.260.049,30795647630.0,500746034639.0,-476382422220.0,55159260049.0
Thuế TNDN,Thuế phải nộp Nhà nước > Thuế TNDN,Thuế TNDN,143.598.636.006,635.489.133.668,(535.127.299.773),243.960.469.901,143598636006.0,635489133668.0,-535127299773.0,243960469901.0
Thuế thu nhậpcá nhân,Thuế phải nộp Nhà nước > Thuế thu nhậpcá nhân,Thuế thu nhậpcá nhân,36.285.854.010,785.553.380.891,(777.926.322.548),43.912.912.353,36285854010.0,785553380891.0,-777926322548.0,43912912353.0
Tiền thuế đất,Thuế phải nộp Nhà nước > Tiền thuế đất,Tiền thuế đất,72.884.349,18.271.833.875,(18.556.300.396),(211.582.172),72884349.0,18271833875.0,-18556300396.0,-211582172.0
Các loại thuế khác,Thuế phải nộp Nhà nước > Các loại thuế khác,Các loại thuế khác,700.059.633,34.028.523.398,(33.232.171.304),1.496.411.727,700059633.0,34028523398.0,-33232171304.0,1496411727.0
TỔNG CỘNG,Thuế phải nộp Nhà nước > TỔNG CỘNG,TỔNG CỘNG,211.453.081.628,1.974.088.906.471,(1.841.224.516.241),344.317.471.858,211453081628.0,1974088906471.0,-1841224516241.0,344317471858.0
