row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,3.472.766.483.343,2.980.154.932.934,3472766483343.0,2980154932934.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,10.533.559.895.646,9.182.388.726.257,10533559895646.0,9182388726257.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trả kháctheo hợp đồng bảo hiểm,2.810.988.395.003,2.901.953.612.989,2810988395003.0,2901953612989.0
,,,16.817.314.773.992,15.064.497.272.180,16817314773992.0,15064497272180.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,320.493.363.110,436.901.141.829,320493363110.0,436901141829.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,1.775.609.963.383,1.447.548.392.202,1775609963383.0,1447548392202.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,2.730.118.162.652,2.765.428.749.237,2730118162652.0,2765428749237.0
,,,4.826.221.489.145,4.649.878.283.268,4826221489145.0,4649878283268.0
TỔNG CỘNG,Bảo hiểm phi nhân thọ > TỔNG CỘNG,TỔNG CỘNG,21.643.536.263.137,19.714.375.555.448,21643536263137.0,19714375555448.0
