row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn,Không xác định kỳ hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Đơn vị: triệu VND > Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Đơn vị: triệu VND > Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,1.464.088,-,-,1.464.088,,,1464088.0,,,1464088.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,57.998,-,595.007,-,-,653.005,57998.0,,595007.0,,,653005.0
Phải thu tải bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tải bảo hiểm,Phải thu tải bảo hiểm,40.246,-,467.158,-,-,507.404,40246.0,,467158.0,,,507404.0
Tài sản tải bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tải bảo hiểm,Tài sản tải bảo hiểm,-,-,3.558.134,-,-,3.558.134,,,3558134.0,,,3558134.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,76.180,-,-,76.180,,,76180.0,,,76180.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,68.289,-,-,68.289,,,68289.0,,,68289.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,-,-,7.891,-,-,7.891,,,7891.0,,,7891.0
Đầu tư tài chính,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính,Đầu tư tài chính,-,4.454.172,104.730.732,46.592.868,111.297.358,267.075.130,,4454172.0,104730732.0,46592868.0,111297358.0,267075130.0
Đầu tư nằm giữ đến ngày đảo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đảo hạn,Đầu tư nằm giữ đến ngày đảo hạn,-,-,104.730.732,46.592.868,111.297.358,262.620.958,,,104730732.0,46592868.0,111297358.0,262620958.0
- Hợp đồng tiến gửi cố ký hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiến gửi cố ký hạn,- Hợp đồng tiến gửi cố ký hạn,-,-,101.310.207,31.041.686,-,132.351.893,,,101310207.0,31041686.0,,132351893.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,3.420.525,15.551.182,111.297.358,130.269.065,,,3420525.0,15551182.0,111297358.0,130269065.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,3.407.291,-,-,-,3.407.291,,3407291.0,,,,3407291.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,3.079.563,-,-,-,3.079.563,,3079563.0,,,,3079563.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,35.848,-,-,-,35.848,,35848.0,,,,35848.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,291.880,-,-,-,291.880,,291880.0,,,,291880.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,-,-,-,-,-,-,,,,,,
Đầu tư tài chính khác,- Trái phiếu > Đầu tư tài chính khác,Đầu tư tài chính khác,-,1.046.881,-,-,-,1.046.881,,1046881.0,,,,1046881.0
Cho vay và tạm ứng khách hàng,- Trái phiếu > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,-,-,8.234.461,-,-,8.234.461,,,8234461.0,,,8234461.0
Các tải sản khác,- Trái phiếu > Các tải sản khác,Các tải sản khác,392.964,-,(412.826),-,-,(19.862),392964.0,,-412826.0,,,-19862.0
TỔNG CỘNG,- Trái phiếu > TỔNG CỘNG,TỔNG CỘNG,491.208,4.454.172,118.712.934,46.592.868,111.297.358,281.548.540,491208.0,4454172.0,118712934.0,46592868.0,111297358.0,281548540.0
