row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024,numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024
01,01,01,Doanh thu phí bảo hiểm(01 = 02 + 03 + 04),,43.728.345.353.632,42.669.681.559.583,,,43728345353632.0,42669681559583.0
02,02,02,Phí bảo hiểm gốc,26.1,43.716.183.432.964,42.591.775.979.851,,261.0,43716183432964.0,42591775979851.0
03,03,03,Phí nhận tái bảo hiểm,26.2,399.971.247.626,217.571.102.216,,262.0,399971247626.0,217571102216.0
04,04,04,Tăng dự phòng phí chưa được hưởng của bảo hiểm gốc và nhận tái bảo hiểm,,(387.809.326.958),(139.665.522.484),,,-387809326958.0,-139665522484.0
05,05,05,Phí nhượng tái bảo hiểm(05 = 06 + 07),,(3.604.679.869.867),(3.543.497.880.539),,,-3604679869867.0,-3543497880539.0
06,06,06,Tổng phí nhượng tái bảo hiểm,27,(3.808.522.584.311),(3.512.320.192.983),,27.0,-3808522584311.0,-3512320192983.0
07,07,07,Tăng/(Giảm) dự phòng phí nhượng tái bảo hiểm,,203.842.714.444,(31.177.687.556),,,203842714444.0,-31177687556.0
08,08,08,Doanh thu phí bảo hiểm thuần(08 = 01 + 05),,40.123.665.483.765,39.126.183.679.044,,,40123665483765.0,39126183679044.0
09,09,09,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạt động kinh doanh bảo hiểm,,824.585.918.049,696.992.004.604,,,824585918049.0,696992004604.0
15,15,15,Doanh thu thuần từ hoạt động kinh doanh bảo hiểm (15 = 08 + 09),,40.948.251.401.814,39.823.175.683.648,,,40948251401814.0,39823175683648.0
16,16,16,Chỉ bồi thường bảo hiểm gốc và chi trả đảo hạn,28.1,(21.643.536.263.137),(19.714.375.555.448),,281.0,-21643536263137.0,-19714375555448.0
17,17,17,Chỉ bồi thường nhận tái bảo hiểm,28.2,(56.988.428.171),(66.271.004.339),,282.0,-56988428171.0,-66271004339.0
18,18,18,Các khoản giảm trừ chi phí(18 = 19 + 20),,987.811.518,2.211.813.306,,,987811518.0,2211813306.0
19,19,19,Thu đời người thứ ba,,812.994.653,969.976.944,,,812994653.0,969976944.0
20,20,20,Thu xử lý hàng bồi thường 100%,,174.816.865,1.241.836.362,,,174816865.0,1241836362.0
21,21,21,Thu bồi thường nhượng tái bảo hiểm,28.3,1.376.404.078.748,1.185.989.939.621,,283.0,1376404078748.0,1185989939621.0
22,22,22,Tăng dự phòng nghiệp vụ bảo hiểm gốc (22 = 23 + 24 + 25 + 26),24,(14.622.822.038.531),(18.168.730.820.701),,24.0,-14622822038531.0,-18168730820701.0
23,23,23,Tăng dự phòng toán học,,(14.260.745.073.169),(14.449.285.268.595),,,-14260745073169.0,-14449285268595.0
24,24,24,Giảm/(Tăng) dự phòng lãi cam kết đầu tư tối thiểu,,197.386.283.078,(3.081.906.630.621),,,197386283078.0,-3081906630621.0
25,25,25,Tăng dự phòng chia lãi,,(453.180.529.150),(527.118.564.278),,,-453180529150.0,-527118564278.0
26,26,26,Tăng dự phòng đảm bảo cân đối,,(106.282.719.290),(110.420.357.207),,,-106282719290.0,-110420357207.0
27,27,27,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tái bảo hiểm,24,(111.769.478.079),(480.900.161.673),,24.0,-111769478079.0,-480900161673.0
28,28,28,(Giảm)/Tăng dự phòng bồi thường nhượng tái bảo hiểm,,(79.566.912.504),580.130.152.238,,,-79566912504.0,580130152238.0
29,29,29,Tổng chỉ bồi thường và trả tiền bảo hiểm(29 = 16 + 17 + 18 + 21 + 22 + 27 + 28),,(35.137.291.230.156),(36.661.945.636.996),,,-35137291230156.0,-36661945636996.0
30,30,30,Giảm/(Tăng) dự phòng dao động lớn,24,14.015.820.679,(51.325.477.527),,24.0,14015820679.0,-51325477527.0
