row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tài sản cố định khác VND,Tổng công VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tài sản cố định khác VND,numeric__Tổng công VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Vào ngày 31/12/2024,Nguyên giá: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,998.221.565.197,836.984.796.034,5.383.846.739,1.840.590.207.970,998221565197.0,836984796034.0,5383846739.0,1840590207970.0
- Mua sắm,Nguyên giá: > - Mua sắm,- Mua sắm,-,2.889.095.063,-,2.889.095.063,,2889095063.0,,2889095063.0
- Điều chỉnh theo quyết toán,Nguyên giá: > - Điều chỉnh theo quyết toán,- Điều chỉnh theo quyết toán,-,31.617.558,-,31.617.558,,31617558.0,,31617558.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,-,(30.000.000),-,(30.000.000),,-30000000.0,,-30000000.0
Vào ngày 31/12/2025,Nguyên giá: > Vào ngày 31/12/2025,Vào ngày 31/12/2025,998.221.565.197,839.875.508.655,5.383.846.739,1.843.480.920.591,998221565197.0,839875508655.0,5383846739.0,1843480920591.0
Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,Giá trị hao mòn luỹ kế:,,,,
Vào ngày 31/12/2024,Giá trị hao mòn luỹ kế: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,163.549.370.699,653.808.788.022,5.011.027.601,822.369.186.322,163549370699.0,653808788022.0,5011027601.0,822369186322.0
- Hao mòn trong năm,Giá trị hao mòn luỹ kế: > - Hao mòn trong năm,- Hao mòn trong năm,39.144.026.490,63.929.070.064,238.175.009,103.311.271.563,39144026490.0,63929070064.0,238175009.0,103311271563.0
- Giảm khác,Giá trị hao mòn luỹ kế: > - Giảm khác,- Giảm khác,-,(30.000.000),-,(30.000.000),,-30000000.0,,-30000000.0
Vào ngày 31/12/2025,Giá trị hao mòn luỹ kế: > Vào ngày 31/12/2025,Vào ngày 31/12/2025,202.693.397.189,717.707.858.086,5.249.202.610,925.650.457.885,202693397189.0,717707858086.0,5249202610.0,925650457885.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Vào ngày 31/12/2024,Giá trị còn lại: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,834.672.194.498,183.176.008.012,372.819.138,1.018.221.021.648,834672194498.0,183176008012.0,372819138.0,1018221021648.0
Vào ngày 31/12/2025,Giá trị còn lại: > Vào ngày 31/12/2025,Vào ngày 31/12/2025,795.528.168.008,122.167.650.569,134.644.129,917.830.462.706,795528168008.0,122167650569.0,134644129.0,917830462706.0
