row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND
Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nhân công,Chi phí nhân công,3.790.246.468.064,2.823.435.850.594,3790246468064.0,2823435850594.0
"Chi phí nguyên liệu, vật liệu","Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",191.103.698.185,167.267.068.173,191103698185.0,167267068173.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,67.465.889.894,67.703.094.468,67465889894.0,67703094468.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,38.947.660.860,31.236.578.461,38947660860.0,31236578461.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,1.729.426.042.182,1.420.615.734.085,1729426042182.0,1420615734085.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí dự phòng,Chi phí dự phòng,4.635.530.261,13.036.320.760,4635530261.0,13036320760.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan trực tiếp đến hoạt động bảo hiểm > Chi phí khác,Chi phí khác,536.040.699.138,493.405.974.713,536040699138.0,493405974713.0
,,,6.357.865.988.584,5.016.700.621.254,6357865988584.0,5016700621254.0
Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí nhân công,Chi phí nhân công,355.573.380.474,285.003.464.273,355573380474.0,285003464273.0
Chi phí khấu hao và hao mòn tài sản cố định,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khấu hao và hao mòn tài sản cố định,Chi phí khấu hao và hao mòn tài sản cố định,147.536.087.391,145.141.181.476,147536087391.0,145141181476.0
Thuế và chi phí lệ phí,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Thuế và chi phí lệ phí,Thuế và chi phí lệ phí,18.302.048.492,23.582.216.229,18302048492.0,23582216229.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,181.742.901.741,151.153.586.750,181742901741.0,151153586750.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí dự phòng,Chi phí dự phòng,28.021.822.508,2.160.348.096,28021822508.0,2160348096.0
Chi phí khác,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > Chi phí khác,Chi phí khác,124.083.906.659,100.858.981.037,124083906659.0,100858981037.0
,,,855.260.147.265,707.899.777.861,855260147265.0,707899777861.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp liên quan đến các lĩnh vực khác > TỔNG CỘNG,TỔNG CỘNG,7.213.126.135.849,5.724.600.399.115,7213126135849.0,5724600399115.0
