row_label_raw,row_label_full,CHÍ TIÊU,Ngày 31 tháng 12năm 2025,Ngày 31 tháng 12năm 2024,numeric__Ngày 31 tháng 12năm 2025,numeric__Ngày 31 tháng 12năm 2024
1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),1. Hợp đồng bảo hiểm chưa phát sinh trách nhiệm (VND),115.550.717.313,572.671.146.383,115550717313.0,572671146383.0
2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),2. Nợ khó đòi đã xử lý (VND),157.480.332.668,154.126.739.670,157480332668.0,154126739670.0
3. Ngoại tệ (USD),3. Ngoại tệ (USD),3. Ngoại tệ (USD),764.294,1.182.193,764294.0,1182193.0
4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),4. Chứng khoán lưu ký (VND),31.096.180.911.400,31.484.227.312.000,31096180911400.0,31484227312000.0
5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),5. Chứng khoán chưa lưu ký (VND),953.171.522.900,1.153.171.522.900,953171522900.0,1153171522900.0
6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),6. Tiền gửi của nhà đầu tư ủy thác (VND),1.346.086.462.575,939.332.428.229,1346086462575.0,939332428229.0
7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),7. Danh mục đầu tư của nhà đầu tư ủy thác (VND),252.214.216.350,254.898.389.400,252214216350.0,254898389400.0
8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),8. Các khoản phải thu của nhà đầu tư ủy thác (VND),7.848.918.822,6.951.543.152,7848918822.0,6951543152.0
9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),9. Các khoản phải trả của nhà đầu tư ủy thác (VND),(1.345.228.954.211),(938.883.595.003),-1345228954211.0,-938883595003.0
"10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)","10. Phải thu lãi tiền gửi, trái phiếu, cho vay ủy thác (VND)",2.699.240.212.423,2.519.762.264.225,2699240212423.0,2519762264225.0
