row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2025VND,numeric__Cho năm tài chínhkết thúc ngày 31tháng 12 năm 2024VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,4.002.216.868.073,4.447.125.987.350,4002216868073.0,4447125987350.0
Bảo hiểm liên kết chung,Bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,27.229.205.419.410,26.364.324.867.197,27229205419410.0,26364324867197.0
Các sản phẩm bảo hiểm nhân thọ khác,Bảo hiểm nhân thọ > Các sản phẩm bảo hiểm nhân thọ khác,Các sản phẩm bảo hiểm nhân thọ khác,1.410.364.960.660,1.348.250.162.301,1410364960660.0,1348250162301.0
Tổng doanh thu bảo hiểm nhân thọ,Bảo hiểm nhân thọ > Tổng doanh thu bảo hiểm nhân thọ,Tổng doanh thu bảo hiểm nhân thọ,32.641.787.248.143,32.159.701.016.848,32641787248143.0,32159701016848.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,1.272.644.214.746,1.198.710.725.609,1272644214746.0,1198710725609.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,4.672.964.815.438,4.220.186.829.463,4672964815438.0,4220186829463.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,5.128.787.154.637,5.013.177.407.931,5128787154637.0,5013177407931.0
Tổng doanh thu bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm phi nhân thọ,Tổng doanh thu bảo hiểm phi nhân thọ,11.074.396.184.821,10.432.074.963.003,11074396184821.0,10432074963003.0
Tổng doanh thu bảo hiểm,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm,Tổng doanh thu bảo hiểm,43.716.183.432.964,42.591.775.979.851,43716183432964.0,42591775979851.0
