row_label_raw,row_label_full,col_0,Bảng căn đối kế toàn hợp nhất,Bảng căn đối kế toàn hợp nhất_1,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng căn đối kế toàn hợp nhất,numeric__Bảng căn đối kế toàn hợp nhất_1,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Ngày 31 tháng12 năm 2025VND,Ngày 31 tháng12 năm 2024VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2024VND,,,,
Tài sản thuê thu nhập hoãn lại,Tài sản thuê thu nhập hoãn lại,Tài sản thuê thu nhập hoãn lại,10.342.773.452,7.855.743.207,2.487.030.245,(3.550.128.061),10342773452.0,7855743207.0,2487030245.0,-3550128061.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(2.854.332.922),(2.731.324.749),(123.008.173),(925.534.786),-2854332922.0,-2731324749.0,-123008173.0,-925534786.0
Thu nhập/(chỉ phí) thuế thu nhập hoãn lại tính vào bảo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập/(chỉ phí) thuế thu nhập hoãn lại tính vào bảo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập/(chỉ phí) thuế thu nhập hoãn lại tính vào bảo cáo kết quả hoạt động kinh doanh hợp nhất,,,2.364.022.072,(4.475.662.847),,,2364022072.0,-4475662847.0
