row_label_raw,row_label_full,col_0,Biên khả năng thanh toán(triệu VND),Biên khả năng thanh toán tối thiểu(triệu VND),Tỷ lệ biên khả năng thanh toán(%),numeric__Biên khả năng thanh toán(triệu VND),numeric__Biên khả năng thanh toán tối thiểu(triệu VND),numeric__Tỷ lệ biên khả năng thanh toán(%)
Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,,,
Tại ngày 31/12/2025,Bảo hiểm Bảo Việt > Tại ngày 31/12/2025,Tại ngày 31/12/2025,2.692.491,1.916.391,141%,2692491.0,1916391.0,1.41
Tại ngày 31/12/2024,Bảo hiểm Bảo Việt > Tại ngày 31/12/2024,Tại ngày 31/12/2024,2.592.334,1.788.087,145%,2592334.0,1788087.0,1.45
Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,,,
Tại ngày 31/12/2025,Bảo Việt Nhân thọ > Tại ngày 31/12/2025,Tại ngày 31/12/2025,9.921.645,9.269.953,107%,9921645.0,9269953.0,1.07
Tại ngày 31/12/2024,Bảo Việt Nhân thọ > Tại ngày 31/12/2024,Tại ngày 31/12/2024,8.879.831,8.554.813,104%,8879831.0,8554813.0,1.04
