row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Mãy mócthiết bịVND,"Phương tiệnvận tải, thiết bịtruyền dẫnVND","Công cụ, dụng cụquản lýVND",Tài sảncổ định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Mãy mócthiết bịVND,"numeric__Phương tiệnvận tải, thiết bịtruyền dẫnVND","numeric__Công cụ, dụng cụquản lýVND",numeric__Tài sảncổ định khácVND,numeric__Tổng cộngVND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Vào ngày 31/12/2024,Nguyên giá: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,1.357.695.533.509,277.684.878.736,637.806.850.572,449.883.121.125,2.958.995.612,2.726.029.379.554,1357695533509.0,277684878736.0,637806850572.0,449883121125.0,2958995612.0,2726029379554.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,492.133.859,9.020.359.980,8.278.765.832,24.482.050.673,-,42.273.310.144,492133859.0,9020359980.0,8278765832.0,24482050673.0,,42273310144.0
- Đầu tư xây dựng cơ bảnhoản thành,Nguyên giá: > - Đầu tư xây dựng cơ bảnhoản thành,- Đầu tư xây dựng cơ bảnhoản thành,2.953.617.606,535.100.000,2.405.070.231,3.133.887.232,-,9.027.675.069,2953617606.0,535100000.0,2405070231.0,3133887232.0,,9027675069.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(557.667.128),(8.069.310.232),(7.100.358.384),(555.000.000),(16.282.335.744),,-557667128.0,-8069310232.0,-7100358384.0,-555000000.0,-16282335744.0
- Chuyển từ bất động sảnđầu tư,Nguyên giá: > - Chuyển từ bất động sảnđầu tư,- Chuyển từ bất động sảnđầu tư,1.720.836.315,-,-,-,-,1.720.836.315,1720836315.0,,,,,1720836315.0
- Giám khác,Nguyên giá: > - Giám khác,- Giám khác,(2.344.327.914),(13.684.659),(980.098.704),(616.120.418),(402.920.000),(4.357.151.695),-2344327914.0,-13684659.0,-980098704.0,-616120418.0,-402920000.0,-4357151695.0
Vào ngày 31/12/2025,Nguyên giá: > Vào ngày 31/12/2025,Vào ngày 31/12/2025,1.360.517.793.175,286.668.986.929,639.441.277.699,469.782.580.228,2.001.075.612,2.758.411.713.643,1360517793175.0,286668986929.0,639441277699.0,469782580228.0,2001075612.0,2758411713643.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Vào ngày 31/12/2024,Giá trị khấu hao lũy kế: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,692.990.310.150,239.476.140.543,545.390.642.246,373.188.214.495,2.566.844.098,1.853.612.151.532,692990310150.0,239476140543.0,545390642246.0,373188214495.0,2566844098.0,1853612151532.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,47.407.861.704,14.308.834.561,28.212.003.825,41.261.161.361,101.051.122,131.290.912.573,47407861704.0,14308834561.0,28212003825.0,41261161361.0,101051122.0,131290912573.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(521.621.673),(8.069.310.232),(7.100.358.384),(555.000.000),(16.246.290.289),,-521621673.0,-8069310232.0,-7100358384.0,-555000000.0,-16246290289.0
- Chuyển từ bất động sảnđầu tư,Giá trị khấu hao lũy kế: > - Chuyển từ bất động sảnđầu tư,- Chuyển từ bất động sảnđầu tư,68.833.453,-,-,-,-,68.833.453,68833453.0,,,,,68833453.0
- (Giảm)/Tăng khác,Giá trị khấu hao lũy kế: > - (Giảm)/Tăng khác,- (Giảm)/Tăng khác,(4.601.988.307),493.421.450,1.927.430.009,(767.177.310),(402.920.000),(3.351.234.158),-4601988307.0,493421450.0,1927430009.0,-767177310.0,-402920000.0,-3351234158.0
Vào ngày 31/12/2025,Giá trị khấu hao lũy kế: > Vào ngày 31/12/2025,Vào ngày 31/12/2025,735.865.017.000,253.756.774.881,567.460.765.848,406.581.840.162,1.709.975.220,1.965.374.373.111,735865017000.0,253756774881.0,567460765848.0,406581840162.0,1709975220.0,1965374373111.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Vào ngày 31/12/2024,Giá trị còn lại: > Vào ngày 31/12/2024,Vào ngày 31/12/2024,664.705.223.359,38.208.738.193,92.416.208.326,76.694.906.630,392.151.514,872.417.228.022,664705223359.0,38208738193.0,92416208326.0,76694906630.0,392151514.0,872417228022.0
Vào ngày 31/12/2025,Giá trị còn lại: > Vào ngày 31/12/2025,Vào ngày 31/12/2025,624.652.776.175,32.912.212.048,71.980.511.851,63.200.740.066,291.100.392,793.037.340.532,624652776175.0,32912212048.0,71980511851.0,63200740066.0,291100392.0,793037340532.0
