row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2025,Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các bùttoán điều chỉnhhợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các bùttoán điều chỉnhhợp nhất,numeric__Đơn vị: triệu đồngTổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,43.730.843,-,-,(2.498),43.728.345,43730843.0,,,-2498.0,43728345.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(3.604.680),-,-,-,(3.604.680),-3604680.0,,,,-3604680.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoatđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoatđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoatđộng kinh doanh bảo hiểm,828.449,-,-,(3.863),824.586,828449.0,,,-3863.0,824586.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,40.954.612,-,-,(6.361),40.948.251,40954612.0,,,-6361.0,40948251.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(21.643.536),-,-,-,(21.643.536),-21643536.0,,,,-21643536.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,(56.988),-,-,-,(56.988),-56988.0,,,,-56988.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,987,-,-,-,987,987.0,,,,987.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,1.376.404,-,-,-,1.376.404,1376404.0,,,,1376404.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(14.622.822),-,-,-,(14.622.822),-14622822.0,,,,-14622822.0
Tăng dự phòng bồi thường bảo hiểm gốc và nhận tảibảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tảibảo hiểm,Tăng dự phòng bồi thường bảo hiểm gốc và nhận tảibảo hiểm,(111.769),-,-,-,(111.769),-111769.0,,,,-111769.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,(79.567),-,-,-,(79.567),-79567.0,,,,-79567.0
Giảm dự phòng dao động lớn,Giảm dự phòng dao động lớn,Giảm dự phòng dao động lớn,14.016,-,-,-,14.016,14016.0,,,,14016.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(4.675.939),-,-,88.909,(4.587.030),-4675939.0,,,88909.0,-4587030.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(39.799.214),-,-,88.909,(39.710.305),-39799214.0,,,88909.0,-39710305.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,540.931,28.360,(609.911),(40.620),,540931.0,28360.0,-609911.0,-40620.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(1.674.852),-,-,-,(1.674.852),-1674852.0,,,,-1674852.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(6.724.202),(868.323),(22.110),401.509,(7.213.126),-6724202.0,-868323.0,-22110.0,401509.0,-7213126.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,10.201.046,2.113.623,9.626,(1.203.829),11.120.466,10201046.0,2113623.0,9626.0,-1203829.0,11120466.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,85.463,913,47,(65.903),20.520,85463.0,913.0,47.0,-65903.0,20520.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,104.096,104.096,,,,104096.0,104096.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,3.042.853,1.787.144,15.923,(1.291.490),3.554.430,3042853.0,1787144.0,15923.0,-1291490.0,3554430.0
