row_label_raw,row_label_full,col_0,Nhà cửaVND,Tổng cộngVND,numeric__Nhà cửaVND,numeric__Tổng cộngVND
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,
Ngày 31 tháng 12 năm 2024,Nguyên giả: > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,145.938.240.874,145.938.240.874,145938240874.0,145938240874.0
- Chuyển sang tài sản cố định,Nguyên giả: > - Chuyển sang tài sản cố định,- Chuyển sang tài sản cố định,(1.720.836.315),(1.720.836.315),-1720836315.0,-1720836315.0
Ngày 31 tháng 12 năm 2025,Nguyên giả: > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,144.217.404.559,144.217.404.559,144217404559.0,144217404559.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,
Ngày 31 tháng 12 năm 2024,Giá trị hao mòn lũy kế: > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,81.365.963.935,81.365.963.935,81365963935.0,81365963935.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,5.837.529.635,5.837.529.635,5837529635.0,5837529635.0
- Chuyển sang tài sản cố định,Giá trị hao mòn lũy kế: > - Chuyển sang tài sản cố định,- Chuyển sang tài sản cố định,(68.833.453),(68.833.453),-68833453.0,-68833453.0
Ngày 31 tháng 12 năm 2025,Giá trị hao mòn lũy kế: > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,87.134.660.117,87.134.660.117,87134660117.0,87134660117.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,
Ngày 31 tháng 12 năm 2024,Giá trị còn lại: > Ngày 31 tháng 12 năm 2024,Ngày 31 tháng 12 năm 2024,64.572.276.939,64.572.276.939,64572276939.0,64572276939.0
Ngày 31 tháng 12 năm 2025,Giá trị còn lại: > Ngày 31 tháng 12 năm 2025,Ngày 31 tháng 12 năm 2025,57.082.744.442,57.082.744.442,57082744442.0,57082744442.0
