row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2024 > Giá trị VND,Ngày 31 tháng 12 năm 2024 > Số có khả năng trả no VND,Ngày 31 tháng 12 năm 2024 > Tăng VND,Ngày 31 tháng 12 năm 2024 > Giảm VND,Ngày 31 tháng 12 năm 2025 > Giá trị VND,Ngày 31 tháng 12 năm 2025 > Số có khả năng trả no VND,numeric__Ngày 31 tháng 12 năm 2024 > Giá trị VND,numeric__Ngày 31 tháng 12 năm 2024 > Số có khả năng trả no VND,numeric__Ngày 31 tháng 12 năm 2024 > Tăng VND,numeric__Ngày 31 tháng 12 năm 2024 > Giảm VND,numeric__Ngày 31 tháng 12 năm 2025 > Giá trị VND,numeric__Ngày 31 tháng 12 năm 2025 > Số có khả năng trả no VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngắn hàng (*),Vay ngắn hạn > Vay ngắn hàng (*),Vay ngắn hàng (*),2.184.097.987.000,2.184.097.987.000,9.614.666.724.959,(8.674.092.711.959),3.124.672.000.000,3.124.672.000.000,2184097987000.0,2184097987000.0,9614666724959.0,-8674092711959.0,3124672000000.0,3124672000000.0
- Ngân hàng TMCP Ngoaí thương Việt Nam,Vay ngắn hạn > - Ngân hàng TMCP Ngoaí thương Việt Nam,- Ngân hàng TMCP Ngoaí thương Việt Nam,299.677.987.000,299.677.987.000,617.993.858.528,(915.999.845.528),1.672.000.000,1.672.000.000,299677987000.0,299677987000.0,617993858528.0,-915999845528.0,1672000000.0,1672000000.0
- Ngân hàng TMCP Hàng hải,Vay ngắn hạn > - Ngân hàng TMCP Hàng hải,- Ngân hàng TMCP Hàng hải,295.000.000.000,295.000.000.000,596.000.000.000,(891.000.000.000),-,-,295000000000.0,295000000000.0,596000000000.0,-891000000000.0,,
- Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,Vay ngắn hạn > - Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,- Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,300.000.000.000,300.000.000.000,1.600.000.000.000,(1.400.000.000.000),500.000.000.000,500.000.000.000,300000000000.0,300000000000.0,1600000000000.0,-1400000000000.0,500000000000.0,500000000000.0
- Ngân hàng TMCP Công thương Việt Nam,Vay ngắn hạn > - Ngân hàng TMCP Công thương Việt Nam,- Ngân hàng TMCP Công thương Việt Nam,384.000.000.000,384.000.000.000,2.188.012.866.431,(1.822.012.866.431),750.000.000.000,750.000.000.000,384000000000.0,384000000000.0,2188012866431.0,-1822012866431.0,750000000000.0,750000000000.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Vay ngắn hạn > - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,98.000.000.000,98.000.000.000,882.000.000.000,(882.000.000.000),98.000.000.000,98.000.000.000,98000000000.0,98000000000.0,882000000000.0,-882000000000.0,98000000000.0,98000000000.0
- Các ngân hàng khác,Vay ngắn hạn > - Các ngân hàng khác,- Các ngân hàng khác,807.420.000.000,807.420.000.000,3.730.660.000.000,(2.763.080.000.000),1.775.000.000.000,1.775.000.000.000,807420000000.0,807420000000.0,3730660000000.0,-2763080000000.0,1775000000000.0,1775000000000.0
Vay các đối tượng khác,Vay ngắn hạn > Vay các đối tượng khác,Vay các đối tượng khác,726.128.369.811,726.128.369.811,4.858.448.164.524,(4.637.207.578.451),947.368.955.884,947.368.955.884,726128369811.0,726128369811.0,4858448164524.0,-4637207578451.0,947368955884.0,947368955884.0
,,,2.910.226.356.811,2.910.226.356.811,14.473.114.889.483,(13.311.300.290.410),4.072.040.955.884,4.072.040.955.884,2910226356811.0,2910226356811.0,14473114889483.0,-13311300290410.0,4072040955884.0,4072040955884.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng (*),Vay dài hạn > Vay ngân hàng (*),Vay ngân hàng (*),-,-,1.422.000.000,(668.000.000),754.000.000,754.000.000,,,1422000000.0,-668000000.0,754000000.0,754000000.0
- Ngân hàng TMCP Ngoaí thương Việt Nam,Vay dài hạn > - Ngân hàng TMCP Ngoaí thương Việt Nam,- Ngân hàng TMCP Ngoaí thương Việt Nam,-,-,1.422.000.000,(668.000.000),754.000.000,754.000.000,,,1422000000.0,-668000000.0,754000000.0,754000000.0
,,,-,-,1.422.000.000,(668.000.000),754.000.000,754.000.000,,,1422000000.0,-668000000.0,754000000.0,754000000.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,2.910.226.356.811,2.910.226.356.811,14.474.536.889.483,(13.311.968.290.410),4.072.794.955.884,4.072.794.955.884,2910226356811.0,2910226356811.0,14474536889483.0,-13311968290410.0,4072794955884.0,4072794955884.0
