row_label_raw,row_label_full,col_0,Giá trị tài sản thuần tại ngày sáp nhập > KenjiVND,Giá trị tài sản thuần tại ngày sáp nhập > ShikaVND,Giá trị tài sản thuần tại ngày sáp nhập > MeijiVND,Loại trừ số dưnội bộVND,Giá trị được ghi nhận tại ngày sáp nhậpVND,numeric__Giá trị tài sản thuần tại ngày sáp nhập > KenjiVND,numeric__Giá trị tài sản thuần tại ngày sáp nhập > ShikaVND,numeric__Giá trị tài sản thuần tại ngày sáp nhập > MeijiVND,numeric__Loại trừ số dưnội bộVND,numeric__Giá trị được ghi nhận tại ngày sáp nhậpVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,7.167.541.506,784.170.924,63.671.623,-,8.015.384.053,7167541506.0,784170924.0,63671623.0,,8015384053.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,287.000.000.000,1.447.336.000.000,-,(1.734.336.000.000),-,287000000000.0,1447336000000.0,,-1734336000000.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,1.116.224.565.272,139.527.677.875,2.098.271.718.859,(193.977.789.173),3.160.046.172.833,1116224565272.0,139527677875.0,2098271718859.0,-193977789173.0,3160046172833.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,1.378.000,1.378.000,-,-,2.756.000,1378000.0,1378000.0,,,2756000.0
Đầu tư vào các công ty con,Đầu tư vào các công ty con,Đầu tư vào các công ty con,-,2.849.251.762.039,-,(2.849.251.762.039),-,,2849251762039.0,,-2849251762039.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,(103.046.136.987),(138.504.195.117),(20.448.022.177),193.978.344.413,(68.020.009.868),-103046136987.0,-138504195117.0,-20448022177.0,193978344413.0,-68020009868.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,(754.900.000.000),(1.447.174.458.000),-,1.734.336.000.000,(467.738.458.000),-754900000000.0,-1447174458000.0,,1734336000000.0,-467738458000.0
Tài sản thuần được sáp nhập,Tài sản thuần được sáp nhập,Tài sản thuần được sáp nhập,552.447.347.791,2.851.222.335.721,2.077.887.368.305,(2.849.251.206.799),2.632.305.845.018,552447347791.0,2851222335721.0,2077887368305.0,-2849251206799.0,2632305845018.0
Giá gốc khoản đầu tư của MNS trong Kenji và Shika (Thuyết minh 7(a)),Giá gốc khoản đầu tư của MNS trong Kenji và Shika (Thuyết minh 7(a)),Giá gốc khoản đầu tư của MNS trong Kenji và Shika (Thuyết minh 7(a)),,,,,3.718.542.532.874,,,,,3718542532874.0
Vốn góp của cổ đông không kiểm soát trong Shika và Meiji,Vốn góp của cổ đông không kiểm soát trong Shika và Meiji,Vốn góp của cổ đông không kiểm soát trong Shika và Meiji,,,,,10.020.000,,,,,10020000.0
Tài sản thuần được sáp nhập,Tài sản thuần được sáp nhập,Tài sản thuần được sáp nhập,,,,,(2.632.305.845.018),,,,,-2632305845018.0
Lỗ từ việc sáp nhập (Thuyết minh 14),Lỗ từ việc sáp nhập (Thuyết minh 14),Lỗ từ việc sáp nhập (Thuyết minh 14),,,,,1.086.246.707.856,,,,,1086246707856.0
