row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,(Lỗ lũy kế)/ lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__(Lỗ lũy kế)/ lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,2.000.010.000.000,-,(110.985.276.665),1.889.024.723.335,2000010000000.0,,-110985276665.0,1889024723335.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,1.486.608.452.672,1.486.608.452.672,,,1486608452672.0,1486608452672.0
Cổ tức,Cổ tức,Cổ tức,-,-,(1.350.006.750.000),(1.350.006.750.000),,,-1350006750000.0,-1350006750000.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,2.000.010.000.000,-,25.616.426.007,2.025.626.426.007,2000010000000.0,,25616426007.0,2025626426007.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,162.162.970.000,3.200.196.495.149,-,3.362.359.465.149,162162970000.0,3200196495149.0,,3362359465149.0
Tăng do sáp nhập (Thuyết minh 4),Tăng do sáp nhập (Thuyết minh 4),Tăng do sáp nhập (Thuyết minh 4),10.020.000,-,-,10.020.000,10020000.0,,,10020000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,(1.391.521.391.939),(1.391.521.391.939),,,-1391521391939.0,-1391521391939.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,2.162.182.990.000,3.200.196.495.149,(1.365.904.965.932),3.996.474.519.217,2162182990000.0,3200196495149.0,-1365904965932.0,3996474519217.0
