row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải,truyền dẫn","Thiết bị, dụng cụ quản lý",Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải,truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,6.560.367.769,10.630.307.019,19.269.439.505,901.990.500,37.362.104.793,6560367769.0,10630307019.0,19269439505.0,901990500.0,37362104793.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,-,52.521.002,-,89.580.000,142.101.002,,52521002.0,,89580000.0,142101002.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(64.526.255),(130.288.671),(6.765.000.000),-,(6.959.814.926),-64526255.0,-130288671.0,-6765000000.0,,-6959814926.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,6.495.841.514,10.552.539.350,12.504.439.505,991.570.500,30.544.390.869,6495841514.0,10552539350.0,12504439505.0,991570500.0,30544390869.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.169.915.426,8.935.598.504,15.878.769.989,196.302.579,29.180.586.498,4169915426.0,8935598504.0,15878769989.0,196302579.0,29180586498.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,358.438.471,656.931.859,1.184.920.697,117.075.894,2.317.366.921,358438471.0,656931859.0,1184920697.0,117075894.0,2317366921.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(32.304.327),(82.323.132),(6.705.623.589),-,(6.820.251.048),-32304327.0,-82323132.0,-6705623589.0,,-6820251048.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.496.049.570,9.510.207.231,10.358.067.097,313.378.473,24.677.702.371,4496049570.0,9510207231.0,10358067097.0,313378473.0,24677702371.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,2.390.452.343,1.694.708.515,3.390.669.516,705.687.921,8.181.518.295,2390452343.0,1694708515.0,3390669516.0,705687921.0,8181518295.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.999.791.944,1.042.332.119,2.146.372.408,678.192.027,5.866.688.498,1999791944.0,1042332119.0,2146372408.0,678192027.0,5866688498.0
