row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,3.309.799.407,3.726.441.917,3.007.036.241.324,3000000000000.0,3309799407.0,3726441917.0,3007036241324.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,143.086.522.050,143.086.522.050,,,143086522050.0,143086522050.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,7.154.326.103,(7.154.326.103),-,,7154326103.0,-7154326103.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,(7.154.326.103),(7.154.326.103),,,-7154326103.0,-7154326103.0
"Trích thù lao Hội Đồng Quản Trị, Ban Kiểm soát","Trích thù lao Hội Đồng Quản Trị, Ban Kiểm soát","Trích thù lao Hội Đồng Quản Trị, Ban Kiểm soát",-,-,(1.658.880.000),(1.658.880.000),,,-1658880000.0,-1658880000.0
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,(324.000.000),(324.000.000),,,-324000000.0,-324000000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,10.464.125.510,130.521.431.761,3.140.985.557.271,3000000000000.0,10464125510.0,130521431761.0,3140985557271.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,10.464.125.510,130.521.431.761,3.140.985.557.271,3000000000000.0,10464125510.0,130521431761.0,3140985557271.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,205.571.665.532,205.571.665.532,,,205571665532.0,205571665532.0
Trích quỹ đầu tư phát triển (1),Trích quỹ đầu tư phát triển (1),Trích quỹ đầu tư phát triển (1),-,10.278.583.277,(10.278.583.277),-,,10278583277.0,-10278583277.0,
Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),-,-,(10.278.583.277),(10.278.583.277),,,-10278583277.0,-10278583277.0
Trích quỹ thưởng ban điều hành (1),Trích quỹ thưởng ban điều hành (1),Trích quỹ thưởng ban điều hành (1),-,-,(405.000.000),(405.000.000),,,-405000000.0,-405000000.0
"Tạm trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)","Tạm trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)","Tạm trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)",-,-,(1.296.000.000),(1.296.000.000),,,-1296000000.0,-1296000000.0
"Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020 (3)","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020 (3)","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020 (3)",-,-,(414.720.000),(414.720.000),,,-414720000.0,-414720000.0
Chia cổ tức (1),Chia cổ tức (1),Chia cổ tức (1),-,-,(90.000.000.000),(90.000.000.000),,,-90000000000.0,-90000000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,20.742.708.787,223.420.210.739,3.244.162.919.526,3000000000000.0,20742708787.0,223420210739.0,3244162919526.0
