row_label_raw,row_label_full,col_0,Phần mềm máy tính,Cộng,numeric__Phần mềm máy tính,numeric__Cộng
,,,VND,VND,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,369.475.237,369.475.237,369475237.0,369475237.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,369.475.237,369.475.237,369475237.0,369475237.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,174.254.751,174.254.751,174254751.0,174254751.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,41.807.292,41.807.292,41807292.0,41807292.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,216.062.043,216.062.043,216062043.0,216062043.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,195.220.486,195.220.486,195220486.0,195220486.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,153.413.194,153.413.194,153413194.0,153413194.0
