row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 > Triệu VND,31/12/2020 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 > Triệu VND,numeric__31/12/2020 > Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quỹ",3,649.907,638.123,,3.0,649907.0,638123.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước,4,1.023.135,730.267,,4.0,1023135.0,730267.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,5,10.596.053,12.379.375,,5.0,10596053.0,12379375.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,8.680.350,11.778.379,,,8680350.0,11778379.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,1.915.703,600.996,,,1915703.0,600996.0
IV,A > IV,IV,Chứng khoán kinh doanh,6,8.528.001,7.836.500,,6.0,8528001.0,7836500.0
1,A > 1,1,Chứng khoán kinh doanh,,8.528.001,7.836.500,,,8528001.0,7836500.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,5.097,9.739,,7.0,5097.0,9739.0
VI,A > VI,VI,Cho vay khách hàng,,83.538.267,78.618.640,,,83538267.0,78618640.0
1,A > 1,1,Cho vay khách hàng,8,84.598.379,79.440.423,,8.0,84598379.0,79440423.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,9,(1.060.112),(821.783),,9.0,-1060112.0,-821783.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,10,11.865.780,13.218.570,,10.0,11865780.0,13218570.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,11.882.280,13.232.445,,,11882280.0,13232445.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(16.500),(13.875),,,-16500.0,-13875.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,273.620,316.496,,11.0,273620.0,316496.0
1,A > 1,1,Đầu tư vào công ty con,,127.000,127.000,,,127000.0,127000.0
4,A > 4,4,Đầu tư dài hạn khác,,162.845,195.660,,,162845.0,195660.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,(16.225),(6.164),,,-16225.0,-6164.0
X,A > X,X,Tài sản cố định,,756.340,722.039,,,756340.0,722039.0
1.,A > 1.,1.,Tài sản cố định hữu hình,12,173.436,148.254,,12.0,173436.0,148254.0
a,A > a,a,Nguyên giá TSCĐ,,434.965,379.592,,,434965.0,379592.0
b,A > b,b,Hao mòn TSCĐ,,(261.529),(231.338),,,-261529.0,-231338.0
3.,A > 3.,3.,Tài sản cố định vô hình,13,582.904,573.785,,13.0,582904.0,573785.0
a,A > a,a,Nguyên giá TSCĐ,,671.055,656.371,,,671055.0,656371.0
b,A > b,b,Hao mòn TSCĐ,,(88.151),(82.586),,,-88151.0,-82586.0
XII,A > XII,XII,Tài sản Có khác,14,2.664.260,2.832.675,,14.0,2664260.0,2832675.0
1,A > 1,1,Các khoản phải thu,,191.125,215.419,,,191125.0,215419.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,2.438.595,2.579.789,,,2438595.0,2579789.0
4,A > 4,4,Tài sản Có khác,,34.540,37.467,,,34540.0,37467.0
,,,TỔNG TÀI SẢN CÓ,,119.900.460,117.302.424,,,119900460.0,117302424.0
