row_label_raw,row_label_full,Thuyết minh theo loại tiền gửi:,Thuyết minh theo loại tiền gửi: > 31/12/2021,Thuyết minh theo loại tiền gửi: > 31/12/2020,numeric__Thuyết minh theo loại tiền gửi: > 31/12/2021,numeric__Thuyết minh theo loại tiền gửi: > 31/12/2020
,,,Triệu VND,Triệu VND,,
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",3.055.955,1.411.433,3055955.0,1411433.0
- Bằng VND,- Bằng VND,- Bằng VND,3.035.546,1.402.641,3035546.0,1402641.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,20.409,8.792,20409.0,8792.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",90.430.404,85.107.619,90430404.0,85107619.0
- Bằng VND,- Bằng VND,- Bằng VND,90.331.965,85.011.038,90331965.0,85011038.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,98.439,96.581,98439.0,96581.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,27,699,27.0,699.0
Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,Tiền gửi kỳ quỹ,73.727,45.225,73727.0,45225.0
- Bằng VND,- Bằng VND,- Bằng VND,73.713,45.211,73713.0,45211.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,14,14,14.0,14.0
,,,93.560.113,86.564.976,93560113.0,86564976.0
"18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",,
,,,31/12/2021,31/12/2020,,
,,,Triệu VND,Triệu VND,,
Bằng VND,"18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro > Bằng VND",Bằng VND,3.671,3.120,3671.0,3120.0
,,,3.671,3.120,3671.0,3120.0
