row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,9.622.605,9.890.179,1.978,3.227,364.218,275.429,-,-,9.988.801,10.168.835,9622605.0,9890179.0,1978.0,3227.0,364218.0,275429.0,,,9988801.0,10168835.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,9.448.623,9.816.233,-,-,10.279,8.358,-,-,9.458.902,9.824.591,9448623.0,9816233.0,,,10279.0,8358.0,,,9458902.0,9824591.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,173.982,73.946,1.978,3.227,-,-,-,-,175.960,77.173,173982.0,73946.0,1978.0,3227.0,,,,,175960.0,77173.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,353.939,267.071,-,-,353.939,267.071,,,,,353939.0,267071.0,,,353939.0,267071.0
II. Chi phí,II. Chi phí,II. Chi phí,7.353.848,7.829.727,-,-,181.363,121.280,1.305.809,1.232.868,8.841.020,9.183.875,7353848.0,7829727.0,,,181363.0,121280.0,1305809.0,1232868.0,8841020.0,9183875.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,7.349.275,7.802.516,-,-,-,-,-,-,7.349.275,7.802.516,7349275.0,7802516.0,,,,,,,7349275.0,7802516.0
2. Chi phí khấu hao TSCD,2. Chi phí khấu hao TSCD,2. Chi phí khấu hao TSCD,-,-,-,-,-,-,34.792,31.367,34.792,31.367,,,,,,,34792.0,31367.0,34792.0,31367.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,4.573,27.211,-,,181.363,121.280,1.271.017,1.201.501,1.456.953,1.349.992,4573.0,27211.0,,,181363.0,121280.0,1271017.0,1201501.0,1456953.0,1349992.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,2.268.757,2.060.452,1.978,3.227,182.855,154.149,(1.305.809),(1.232.868),1.147.781,984.960,2268757.0,2060452.0,1978.0,3227.0,182855.0,154149.0,-1305809.0,-1232868.0,1147781.0,984960.0
Chi phí/(Hoàn nhập) dự phòng rủi ro tín dụng,Chi phí/(Hoàn nhập) dự phòng rủi ro tín dụng,Chi phí/(Hoàn nhập) dự phòng rủi ro tín dụng,243.589,254.326,-,-,-,-,-,-,243.589,254.326,243589.0,254326.0,,,,,,,243589.0,254326.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,2.025.168,1.806.126,1.978,3.227,182.855,154.149,(1.305.809),(1.232.868),904.192,730.634,2025168.0,1806126.0,1978.0,3227.0,182855.0,154149.0,-1305809.0,-1232868.0,904192.0,730634.0
