row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanhchứng khoán nợ","Huy động vốn và cho vay lại, kinh doanhchứng khoán nợ_1",Kinh doanh chứng khoánvốn và góp vốn mua cổ phần,Kinh doanh chứng khoánvốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung khôngphân bổ,Hoạt động chung khôngphân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanhchứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanhchứng khoán nợ_1",numeric__Kinh doanh chứng khoánvốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoánvốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung khôngphân bổ,numeric__Hoạt động chung khôngphân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,Năm nay/Cuối năm,Năm trước/Dầu năm,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
III. Tài sản (*),III. Tài sản (*),III. Tài sản (*),115.452.165,114.239.494,426.345,459.160,30.692,40.311,5.084.095,3.405.281,120.993.297,118.144.246,115452165.0,114239494.0,426345.0,459160.0,30692.0,40311.0,5084095.0,3405281.0,120993297.0,118144246.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,-,-,-,-,-,-,649.907,638.123,649.907,638.123,,,,,,,649907.0,638123.0,649907.0,638123.0
2. Tiền gửi tại Ngân hàngNhà nước,2. Tiền gửi tại Ngân hàngNhà nước,2. Tiền gửi tại Ngân hàngNhà nước,-,-,-,-,-,-,1.023.135,730.267,1.023.135,730.267,,,,,,,1023135.0,730267.0,1023135.0,730267.0
3. Tiền gửi và cho vay cácTCTD khác,3. Tiền gửi và cho vay cácTCTD khác,3. Tiền gửi và cho vay cácTCTD khác,8.167.005,11.317.409,-,-,-,-,2.429.048,1.061.966,10.596.053,12.379.375,8167005.0,11317409.0,,,,,2429048.0,1061966.0,10596053.0,12379375.0
4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,4. Chứng khoán kinh doanh,8.528.001,7.700.000,-,136.500,-,-,-,-,8.528.001,7.836.500,8528001.0,7700000.0,,136500.0,,,,,8528001.0,7836500.0
5. Các công cụ tài chínhphái sinh và các tài sản tàichính khác,5. Các công cụ tài chínhphái sinh và các tài sản tàichính khác,5. Các công cụ tài chínhphái sinh và các tài sản tàichính khác,-,-,-,-,5.097,9.739,-,-,5.097,9.739,,,,,5097.0,9739.0,,,5097.0,9739.0
6. Cho vay khách hàng,6. Cho vay khách hàng,6. Cho vay khách hàng,84.598.379,79.440.423,-,-,-,-,-,-,84.598.379,79.440.423,84598379.0,79440423.0,,,,,,,84598379.0,79440423.0
7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,7. Chứng khoán đầu tư,11.745.780,13.232.445,136.500,-,-,-,-,-,11.882.280,13.232.445,11745780.0,13232445.0,136500.0,,,,,,11882280.0,13232445.0
"8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn","8. Góp vốn, đầu tư dài hạn",-,-,289.845,322.660,-,-,-,-,289.845,322.660,,,289845.0,322660.0,,,,,289845.0,322660.0
9. Tài sản cổ định,9. Tài sản cổ định,9. Tài sản cổ định,-,-,-,-,-,-,756.340,722.039,756.340,722.039,,,,,,,756340.0,722039.0,756340.0,722039.0
10. Tài sản Có khác,10. Tài sản Có khác,10. Tài sản Có khác,2.413.000,2.549.217,-,-,25.595,30.572,225.665,252.886,2.664.260,2.832.675,2413000.0,2549217.0,,,25595.0,30572.0,225665.0,252886.0,2664260.0,2832675.0
