row_label_raw,row_label_full,Ký hạn,Mệnh giá,Chiết khấu,Phụ trội,Giá trị thuần,numeric__Mệnh giá,numeric__Chiết khấu,numeric__Phụ trội,numeric__Giá trị thuần
Ký hạn,Ký hạn,Ký hạn,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Từ 12 tháng đến 05 năm,Ký hạn > Từ 12 tháng đến 05 năm,Từ 12 tháng đến 05 năm,4.889.835,-,-,4.889.835,4889835.0,,,4889835.0
Từ 05 năm trở lên,Ký hạn > Từ 05 năm trở lên,Từ 05 năm trở lên,1.000.000,-,-,1.000.000,1000000.0,,,1000000.0
,,,5.889.835,-,-,5.889.835,5889835.0,,,5889835.0
