row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > Triệu VND","Máy móc,thiết bị > Triệu VND",Phương tiệnvận tải > Triệu VND,Thiết bị dụng cụquản lý > Triệu VND,Cộng > Triệu VND,"numeric__Nhà cửa,vật kiến trúc > Triệu VND","numeric__Máy móc,thiết bị > Triệu VND",numeric__Phương tiệnvận tải > Triệu VND,numeric__Thiết bị dụng cụquản lý > Triệu VND,numeric__Cộng > Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,67.995,167.691,95.990,47.916,379.592,67995.0,167691.0,95990.0,47916.0,379592.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,1.377,35.769,15.536,2.691,55.373,1377.0,35769.0,15536.0,2691.0,55373.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,69.372,203.460,111.526,50.607,434.965,69372.0,203460.0,111526.0,50607.0,434965.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,33.998,105.613,51.005,40.722,231.338,33998.0,105613.0,51005.0,40722.0,231338.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,2.538,15.297,8.447,2.945,29.227,2538.0,15297.0,8447.0,2945.0,29227.0
- Tăng khác,Giá trị hao mòn lũy kế > - Tăng khác,- Tăng khác,-,964,-,-,964,,964.0,,,964.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,36.536,121.874,59.452,43.667,261.529,36536.0,121874.0,59452.0,43667.0,261529.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,33.997,62.078,44.985,7.194,148.254,33997.0,62078.0,44985.0,7194.0,148254.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,32.836,81.586,52.074,6.940,173.436,32836.0,81586.0,52074.0,6940.0,173436.0
