row_label_raw,row_label_full,col_0,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo),Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo)_1,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo),numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo)_1
,,,Tài sản,Công nợ,,
,,,Triệu VND,Triệu VND,,
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,5.097,-,5097.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,5.097,-,5097.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,5.097,-,5097.0,
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,9.739,-,9739.0,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,9.739,-,9739.0,
- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,- Giao dịch hoán đổi tiền tệ,9.739,-,9739.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,
,,,31/12/2021,31/12/2020,,
,,,Triệu VND,Triệu VND,,
"Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay khách hàng > Cho vay các tổ chức kinh tế, cá nhân trong nước","Cho vay các tổ chức kinh tế, cá nhân trong nước",84.597.291,79.438.294,84597291.0,79438294.0
"Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay khách hàng > Cho vay bằng vốn tài trợ, ủy thác đầu tư","Cho vay bằng vốn tài trợ, ủy thác đầu tư",500,500,500.0,500.0
Cho vay theo chỉ định của Chính phủ,Cho vay khách hàng > Cho vay theo chỉ định của Chính phủ,Cho vay theo chỉ định của Chính phủ,588,1.629,588.0,1629.0
,,,84.598.379,79.440.423,84598379.0,79440423.0
Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,Phân tích chất lượng nợ cho vay,,
,,,31/12/2021,31/12/2020,,
,,,Triệu VND,Triệu VND,,
Nợ đủ tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ đủ tiêu chuẩn,Nợ đủ tiêu chuẩn,83.787.699,78.768.014,83787699.0,78768014.0
Nợ cần chú ý,Phân tích chất lượng nợ cho vay > Nợ cần chú ý,Nợ cần chú ý,155.377,44.409,155377.0,44409.0
Nợ dưới tiêu chuẩn,Phân tích chất lượng nợ cho vay > Nợ dưới tiêu chuẩn,Nợ dưới tiêu chuẩn,61.465,23.123,61465.0,23123.0
Nợ nghi ngờ,Phân tích chất lượng nợ cho vay > Nợ nghi ngờ,Nợ nghi ngờ,40.122,271.073,40122.0,271073.0
Nợ có khả năng mất vốn,Phân tích chất lượng nợ cho vay > Nợ có khả năng mất vốn,Nợ có khả năng mất vốn,553.716,333.804,553716.0,333804.0
,,,84.598.379,79.440.423,84598379.0,79440423.0
