row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quả hạn > Trên 03 tháng > Triệu VND,Quả hạn > Đến 03 tháng > Triệu VND,Trong hạn > Đến 01 tháng > Triệu VND,Trong hạn > Từ trên 01 đến 03 tháng > Triệu VND,Trong hạn > Từ trên 03 đến 12 tháng > Triệu VND,Trong hạn > Từ trên 01 đến 05 năm > Triệu VND,Trong hạn > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Chỉ tiêu_1,numeric__Quả hạn > Trên 03 tháng > Triệu VND,numeric__Quả hạn > Đến 03 tháng > Triệu VND,numeric__Trong hạn > Đến 01 tháng > Triệu VND,numeric__Trong hạn > Từ trên 01 đến 03 tháng > Triệu VND,numeric__Trong hạn > Từ trên 03 đến 12 tháng > Triệu VND,numeric__Trong hạn > Từ trên 01 đến 05 năm > Triệu VND,numeric__Trong hạn > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,
I,NỘ PHẢI TRẢ > I,I,Tiền gửi và vay từ NHNN và các TCTD khác,-,-,7.941.568,1.145.948,4.701,87.406,2.449,9.182.072,,,,7941568.0,1145948.0,4701.0,87406.0,2449.0,9182072.0
II,NỘ PHẢI TRẢ > II,II,Tiền gửi của khách hàng,-,-,12.630.615,11.788.574,23.390.029,29.845.676,15.905.219,93.560.113,,,,12630615.0,11788574.0,23390029.0,29845676.0,15905219.0,93560113.0
IV,NỘ PHẢI TRẢ > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,-,-,-,3.671,-,3.671,,,,,,,3671.0,,3671.0
V,NỘ PHẢI TRẢ > V,V,Phát hành giấy tờ có giá,-,-,152.226,161.739,-,4.300.000,700.000,5.313.965,,,,152226.0,161739.0,,4300000.0,700000.0,5313965.0
VI,NỘ PHẢI TRẢ > VI,VI,Các khoản nợ khác,-,-,386.576,229.031,241.754,1.654.107,292.650,2.804.118,,,,386576.0,229031.0,241754.0,1654107.0,292650.0,2804118.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,-,-,21.110.985,13.325.292,23.636.484,35.890.860,16.900.318,110.863.939,,,,21110985.0,13325292.0,23636484.0,35890860.0,16900318.0,110863939.0
Mức chênh lệch thanh khoản ròng,NỘ PHẢI TRẢ > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,324.272,486.408,207.004,3.432,2.513.217,5.832.394,762.631,10.129.358,,324272.0,486408.0,207004.0,3432.0,2513217.0,5832394.0,762631.0,10129358.0
