row_label_raw,row_label_full,col_0,Tỷ lệ,Số tiền,numeric__Tỷ lệ,numeric__Số tiền
,,,%,Triệu VND,,
Lợi nhuận sau thuế năm 2020,Lợi nhuận sau thuế năm 2020,Lợi nhuận sau thuế năm 2020,,585.152,,585152.0
Trích các Quỹ,Trích các Quỹ,Trích các Quỹ,"20,13",117.773,20.13,117773.0
- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,- Quỹ dự trữ bổ sung vốn điều lệ,"5,00",29.258,5.0,29258.0
- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,- Quỹ dự phòng tài chính,"10,00",58.515,10.0,58515.0
- Quỹ phúc lợi,- Quỹ phúc lợi,- Quỹ phúc lợi,"2,563",15.000,2.563,15000.0
- Quỹ khen thưởng,- Quỹ khen thưởng,- Quỹ khen thưởng,"2,563",15.000,2.563,15000.0
Thù lao HDQT và BKS,Thù lao HDQT và BKS,Thù lao HDQT và BKS,"1,50",8.777,1.5,8777.0
"Chia cổ tức bằng cổ phiếu cho cổ đông (6,3% vốn điều lệ) (ii)","Chia cổ tức bằng cổ phiếu cho cổ đông (6,3% vốn điều lệ) (ii)","Chia cổ tức bằng cổ phiếu cho cổ đông (6,3% vốn điều lệ) (ii)","76,28",446.355,76.28,446355.0
Lợi nhuận để lại,Lợi nhuận để lại,Lợi nhuận để lại,,12.247,,12247.0
