row_label_raw,row_label_full,STT,Chi tiêu,Thuyết minh,31/12/2021 > Triệu VND,31/12/2020 > Triệu VND,numeric__Chi tiêu,numeric__Thuyết minh,numeric__31/12/2021 > Triệu VND,numeric__31/12/2020 > Triệu VND
1,1,1,Bảo lãnh vay vốn,34,93.986,51.128,,34.0,93986.0,51128.0
2,2,2,Cam kết giao dịch hồi đoái,34,42.053.414,19.792.211,,34.0,42053414.0,19792211.0
a,a,a,Cam kết mua ngoại tệ,,2.853.900,551.655,,,2853900.0,551655.0
b,b,b,Cam kết bán ngoại tệ,,3.420.150,443.953,,,3420150.0,443953.0
c,c,c,Cam kết giao dịch hoàn đối,,35.779.364,18.796.603,,,35779364.0,18796603.0
3,3,3,Cam kết cho vay không hủy ngang,34,152.189,65.309,,34.0,152189.0,65309.0
5,5,5,Bảo lãnh khác,34,621.384,368.733,,34.0,621384.0,368733.0
