row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2021 > Triệu VND,31/12/2020 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2021 > Triệu VND,numeric__31/12/2020 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,15,95.504,147.537,,15.0,95504.0,147537.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,9.086.568,13.231.963,,16.0,9086568.0,13231963.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,9.060.479,13.231.030,,,9060479.0,13231030.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,26.089,933,,,26089.0,933.0
III,B > III,III,Tiền gửi của khách hàng,17,93.560.113,86.564.976,,17.0,93560113.0,86564976.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,3.671,3.120,,18.0,3671.0,3120.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,5.313.965,5.889.835,,19.0,5313965.0,5889835.0
VII,B > VII,VII,Các khoản nợ khác,,2.804.118,3.113.443,,,2804118.0,3113443.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.544.781,2.734.731,,,2544781.0,2734731.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,259.337,378.712,,20.0,259337.0,378712.0
,,,TỔNG NỘ PHẢI TRẢ,,110.863.939,108.950.874,,,110863939.0,108950874.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,9.036.521,8.351.550,,21.0,9036521.0,8351550.0
1,B > 1,1,Vốn của tổ chức tín dụng,,7.538.753,7.092.398,,,7538753.0,7092398.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,7.531.355,7.085.000,,,7531355.0,7085000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,686.254,598.482,,,686254.0,598482.0
5,B > 5,5,Lợi nhuận chưa phân phối,,811.514,660.670,,,811514.0,660670.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,119.900.460,117.302.424,,,119900460.0,117302424.0
