row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,Số cuối năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác,Số đầu năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác,Số đầu năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,Số đầu năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,numeric__Số cuối năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > Giá gốc > Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > Dự phòng > Đầu tư góp vốn vào đơn vị khác,numeric__Số đầu năm > VNDGiá trị hợp lý > Đầu tư góp vốn vào đơn vị khác
"Công ty Cổ phần Công nghệ Thông tin,Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin,Viễn thông và Tự động hóa Dầu khí","Công ty Cổ phần Công nghệ Thông tin,Viễn thông và Tự động hóa Dầu khí",3.600.000.000,-,(ii),3.600.000.000,-,(ii),3600000000.0,,,3600000000.0,,
Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,Công ty Cổ phần Chế biến Thủy sản Út Xi,16.902.000.000,(16.902.000.000),(ii),16.902.000.000,(8.013.375.369),(ii),16902000000.0,-16902000000.0,,16902000000.0,-8013375369.0,
,,,20.502.000.000,(16.902.000.000),,20.502.000.000,(8.013.375.369),,20502000000.0,-16902000000.0,,20502000000.0,-8013375369.0,
