row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,3.085.566.955.137,10.515.490.029.734,197.669.690.909,10.713.159.720.643,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,3085566955137.0,10515490029734.0,197669690909.0,10713159720643.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,5.564.877.377.993,5.564.877.377.993,20.013.908.250,5.584.891.286.243,,,,,5564877377993.0,5564877377993.0,20013908250.0,5584891286243.0
"Trích Quỹ khen thưởng,phúc lợi","Trích Quỹ khen thưởng,phúc lợi","Trích Quỹ khen thưởng,phúc lợi",-,-,-,-,(292.673.103.740),(292.673.103.740),(4.880.338.578),(297.553.442.318),,,,,-292673103740.0,-292673103740.0,-4880338578.0,-297553442318.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,-,-,-,-,(1.956.671.300.000),(1.956.671.300.000),(26.387.500.000),(1.983.058.800.000),,,,,-1956671300000.0,-1956671300000.0,-26387500000.0,-1983058800000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,-,-,,,,,,,,
Số dư cuối năm trước,Tăng khác > Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,6.401.099.929.390,13.831.023.003.987,186.415.760.581,14.017.438.764.568,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,6401099929390.0,13831023003987.0,186415760581.0,14017438764568.0
Số dư đầu năm nay,Tăng khác > Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,6.401.099.929.390,13.831.023.003.987,186.415.760.581,14.017.438.764.568,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,6401099929390.0,13831023003987.0,186415760581.0,14017438764568.0
Lợi nhuận trong năm,Tăng khác > Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,519.466.561.842,519.466.561.842,10.350.358.680,529.816.920.522,,,,,519466561842.0,519466561842.0,10350358680.0,529816920522.0
Trích Quỹ đầu tư phát triển (iii),Tăng khác > Trích Quỹ đầu tư phát triển (iii),Trích Quỹ đầu tư phát triển (iii),-,-,-,1.102.139.517.511,(1.102.139.517.511),-,-,-,,,,1102139517511.0,-1102139517511.0,,,
"Trích Quỹ khen thưởng,phúc lợi (i)","Tăng khác > Trích Quỹ khen thưởng,phúc lợi (i)","Trích Quỹ khen thưởng,phúc lợi (i)",-,-,-,-,(240.143.117.072),(240.143.117.072),(2.357.372.358),(242.500.489.430),,,,,-240143117072.0,-240143117072.0,-2357372358.0,-242500489430.0
Trả cổ tức bằng tiền mặt (ii),Tăng khác > Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),-,-,-,-,(2.739.339.820.000),(2.739.339.820.000),(19.612.500.000),(2.758.952.320.000),,,,,-2739339820000.0,-2739339820000.0,-19612500000.0,-2758952320000.0
Giảm khác,Tăng khác > Giảm khác,Giảm khác,-,-,-,-,(603.101.816),(603.101.816),,(603.101.816),,,,,-603101816.0,-603101816.0,,-603101816.0
Số dư cuối năm nay,Tăng khác > Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),4.599.179.502.370,2.838.340.934.833,11.370.403.526.941,174.796.246.903,11.545.199.773.844,3914000000000.0,21179913858.0,-2296824120.0,4599179502370.0,2838340934833.0,11370403526941.0,174796246903.0,11545199773844.0
