row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Tài sản cố định hữu hình khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Tài sản cố định hữu hình khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.337.565.207.020,8.189.181.198.622,92.973.225.137,242.679.230.869,625.545.135.523,11.487.943.997.171,2337565207020.0,8189181198622.0,92973225137.0,242679230869.0,625545135523.0,11487943997171.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,46.971.000.699,16.999.102.049,7.792.293.607,29.813.744.445,364.788.615,101.940.929.415,46971000699.0,16999102049.0,7792293607.0,29813744445.0,364788615.0,101940929415.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.251.304.844),(4.900.028.000),(5.637.662.538),(280.206.250),(15.069.201.632),,-4251304844.0,-4900028000.0,-5637662538.0,-280206250.0,-15069201632.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.384.536.207.719,8.201.928.995.827,95.865.490.744,266.855.312.776,625.629.717.888,11.574.815.724.954,2384536207719.0,8201928995827.0,95865490744.0,266855312776.0,625629717888.0,11574815724954.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.637.245.008.964,6.659.191.488.017,78.768.220.354,214.649.275.952,463.782.591.225,9.053.636.584.512,1637245008964.0,6659191488017.0,78768220354.0,214649275952.0,463782591225.0,9053636584512.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,85.611.970.654,257.100.279.527,3.685.172.906,14.218.128.977,21.392.727.311,382.008.279.375,85611970654.0,257100279527.0,3685172906.0,14218128977.0,21392727311.0,382008279375.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(4.209.894.657),(4.900.028.000),(5.637.662.555),(280.206.250),(15.027.791.462),,-4209894657.0,-4900028000.0,-5637662555.0,-280206250.0,-15027791462.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.722.856.979.618,6.912.081.872.887,77.553.365.260,223.229.742.374,484.895.112.286,9.420.617.072.425,1722856979618.0,6912081872887.0,77553365260.0,223229742374.0,484895112286.0,9420617072425.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,700.320.198.056,1.529.989.710.605,14.205.004.783,28.029.954.917,161.762.544.298,2.434.307.412.659,700320198056.0,1529989710605.0,14205004783.0,28029954917.0,161762544298.0,2434307412659.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,661.679.228.101,1.289.847.122.940,18.312.125.484,43.625.570.402,140.734.605.602,2.154.198.652.529,661679228101.0,1289847122940.0,18312125484.0,43625570402.0,140734605602.0,2154198652529.0
