row_label_raw,row_label_full,col_0,"Dự phòng sửa chữa,bảo dưỡng tổng thể choNhà máy Đạm Phú Mỹ","numeric__Dự phòng sửa chữa,bảo dưỡng tổng thể choNhà máy Đạm Phú Mỹ"
,,,VND,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,-,
Trích lập dự phòng bổ sung trong năm,Số dư đầu năm > Trích lập dự phòng bổ sung trong năm,Trích lập dự phòng bổ sung trong năm,102.177.312.389,102177312389.0
Số dư cuối năm,Số dư đầu năm > Số dư cuối năm,Số dư cuối năm,102.177.312.389,102177312389.0
