row_label_raw,row_label_full,Ông Phan Công Thành > Ông Lê Cự Tân > Ông Đào Văn Ngọc,Tổng Giám đốc (bổ nhiệm ngày 25 tháng 01 năm 2024) > Tổng Giám đốc (miễn nhiệm ngày 27 tháng 10 năm 2023) > Phó Tổng Giám đốc phụ trách Ban điều hành Tổng Công ty (bổ nhiệm ngày 27 tháng 10 năm 2023 và miễn nhiệm ngày 25 tháng 01 năm 2024),numeric__Tổng Giám đốc (bổ nhiệm ngày 25 tháng 01 năm 2024) > Tổng Giám đốc (miễn nhiệm ngày 27 tháng 10 năm 2023) > Phó Tổng Giám đốc phụ trách Ban điều hành Tổng Công ty (bổ nhiệm ngày 27 tháng 10 năm 2023 và miễn nhiệm ngày 25 tháng 01 năm 2024)
Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Ông Đào Văn Ngọc,Phó Tổng Giám đốc,
Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Bà Trần Thị Phương Thảo,Phó Tổng Giám đốc,
Ông Cao Trung Kiên,Ông Cao Trung Kiên,Ông Cao Trung Kiên,Phó Tổng Giám đốc,
Ông Tạ Quang Huy,Ông Tạ Quang Huy,Ông Tạ Quang Huy,Phó Tổng Giám đốc,
Ông Lê Văn Quốc Việt,Ông Lê Văn Quốc Việt,Ông Lê Văn Quốc Việt,Phó Tổng Giám đốc (nghĩ hưu theo chế độ ngày 05 tháng 5 năm 2023),
Bà Lê Thị Thu Hương,Bà Lê Thị Thu Hương,Bà Lê Thị Thu Hương,Phó Tổng Giám đốc (miễn nhiệm ngày 15 tháng 8 năm 2023),
