row_label_raw,row_label_full,Tên đơn vị,Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ sở hữu %,Số cuối năm > Giá gốc đầu tư VND,Số đầu năm > Tỷ lệ sở hữu %,Số đầu năm > Giá gốc đầu tư VND,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ sở hữu %,numeric__Số cuối năm > Giá gốc đầu tư VND,numeric__Số đầu năm > Tỷ lệ sở hữu %,numeric__Số đầu năm > Giá gốc đầu tư VND
Paragon (i),Paragon (i),Paragon (i),Bắt động sản,"75,00",1.260.695.826.373,-,-,,75.0,1260695826373.0,,
NNH Mizuki (ii),NNH Mizuki (ii),NNH Mizuki (ii),Bắt động sản,"50,00",750.000.000.000,"50,00",750.000.000.000,,50.0,750000000000.0,50.0,750000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,2.010.695.826.373,,750.000.000.000,,,2010695826373.0,,750000000000.0
