row_label_raw,row_label_full,Họ và tên,Chức vụ,col_2,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__col_2,numeric__Thu nhập,numeric__Thu nhập_1
Họ và tên,Họ và tên,Họ và tên,Chức vụ,,Năm nay,Năm trước,,,,
Ông Trần Xuân Ngọc,Ông Trần Xuân Ngọc,Ông Trần Xuân Ngọc,Tổng Giám đốc Tập đoàn kiểm,,,,,,,
Ông Trần Xuân Ngọc,Ông Trần Xuân Ngọc > Ông Trần Xuân Ngọc,Ông Trần Xuân Ngọc,Tổng Giám đốc Nam Long Land,bổ nhiệm ngày 30 tháng 3 năm 2021,15.529.330.651,21.643.192.324,,,15529330651.0,21643192324.0
Ông Phạm Đình Huy,Ông Trần Xuân Ngọc > Ông Phạm Đình Huy,Ông Phạm Đình Huy,Giám đốc Đầu tư Tập đoàn,,5.169.836.756,6.824.007.948,,,5169836756.0,6824007948.0
Ông Chai Cheng Huan,Ông Chai Cheng Huan,Ông Chai Cheng Huan,Giám đốc Điều hành Đơn vị Kinh doanh,,,,,,,
Ông Chai Cheng Huan,Ông Chai Cheng Huan > Ông Chai Cheng Huan,Ông Chai Cheng Huan,Bất động sản Thương mại & Đầu tư Mạo hiểm,bổ nhiệm ngày 14 tháng 5 năm 2022,2.950.277.377,-,,,2950277377.0,
Ông Nguyễn Huy Đức,Ông Chai Cheng Huan > Ông Nguyễn Huy Đức,Ông Nguyễn Huy Đức,Giám đốc Tài chính,bổ nhiệm ngày 4 tháng 4 năm 2022,3.232.818.182,-,,,3232818182.0,
Ông Nguyên Thanh Sơn,Ông Chai Cheng Huan > Ông Nguyên Thanh Sơn,Ông Nguyên Thanh Sơn,Tổng Giám đốc Nam Long Land,từ nhiệm ngày 16 tháng 3 năm 2022,2.852.272.727,15.699.131.273,,,2852272727.0,15699131273.0
Ông Koh Mui Kwang,Ông Chai Cheng Huan > Ông Koh Mui Kwang,Ông Koh Mui Kwang,Giám đốc Điều hành Đơn vị Kinh doanh Bất động sản Thương mại & Đầu tư Mạo hiểm,từ nhiệm ngày 14 tháng 5 năm 2022,2.741.867.000,6.950.144.090,,,2741867000.0,6950144090.0
Ông Châu Quang Phúc,Ông Chai Cheng Huan > Ông Châu Quang Phúc,Ông Châu Quang Phúc,Giám đốc Tài chính,từ nhiệm ngày 4 tháng 4 năm 2022,1.132.039.130,4.482.115.454,,,1132039130.0,4482115454.0
Ông Chu Chee Kwang,Ông Chai Cheng Huan > Ông Chu Chee Kwang,Ông Chu Chee Kwang,Tổng Giám đốc Tập đoàn,từ nhiệm ngày 30 tháng 3 năm 2021,-,1.140.602.000,,,,1140602000.0
TỔNG CỔNG,Ông Chai Cheng Huan > TỔNG CỔNG,TỔNG CỔNG,,,33.608.441.823,56.739.193.089,,,33608441823.0,56739193089.0
