row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,Hoàn vốnChia lợi nhuậntheo HĐHTKDNhận cổ tứcPhí dịch vụ quản líGớp vốn BCCdự án AkariGớp vốn,175.000.000.000127.492.989.50423.200.000.0001.800.000.000-,380.000.000.000242.477.048.7175.021.369.863933.000.000.000130.000.000.000,,,,3.800000000002425e+57
Sản Giao Dịch,Sản Giao Dịch,Sản Giao Dịch,Công ty con,Phí hoa hồng,165.836.474.527,88.879.363.827,,,165836474527.0,88879363827.0
Paragon,Paragon,Paragon,Công ty liên doanh,Tạm ứng vốn gópThu gốc cho vayDoanh thu từ dịch vụquản lý dự án (*)Cho vayThu nhập lãi cho vayGớp vốnNhận cổ tức,90.000.000.00070.000.000.00046.938.000.0006.000.000.0003.475.287.671-,----5.500.000.0004.863.631.659311.004.913.953311.000.000.000,,,,
Tân Hiệp,Paragon > Tân Hiệp,Tân Hiệp,Bên liên quan,Chuyển nhượng vốnTạm ứng mua cổ phần,89.830.508.47550.000.000.000,----39.830.508.475,,,8.98305084755e+21,
Nam Long Commercial,Paragon > Nam Long Commercial,Nam Long Commercial,Công ty con,Gớp vốn,60.000.000.000,,,,60000000000.0,
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,Trả gốc vayNhận cổ tứcLãi vayDịch vụ quản lý dự án,37.200.000.00026.199.204.0009.706.608.601-,----30.565.740.00011.431.814.0981.790.914.002,,,,
Dịch vụ Nam Long,Nguyên Sơn > Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Phí dịch vụ quản lýThu nhập cho thuê,21.924.158.1771.663.577.273,18.409.679.030954.545.455,,,2.1924158177166357e+20,1.8409679030954545e+19
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,Trả gốc vayMua vốnLãi vayNhận cổ tức và lãitừ khoản đầu tư,20.000.000.00014.240.000.0003.218.050.258-,----3.535.388.56411.791.000.000,,,,
Nam Phan,Nam Phan,Nam Phan,Công ty con,Trả gốc vayLãi vayHoàn vốn góp,18.500.000.00012.444.393.926-,----15.249.885.87588.884.073.090,,,,
Nam Long PMD,Nam Phan > Nam Long PMD,Nam Long PMD,Công ty con,Chi phí thuêPhí tự vấn quản lý,14.084.138.0633.289.971.284,12.682.404.8981.912.436.225,,,1.4084138063328997e+20,1.2682404898191244e+20
Anabuki,Nam Phan > Anabuki,Anabuki,Công ty liên quan,Phí dịch vụ quản lýDoanh thu từ dịch vụquản lý dự án (*),17.629.939.3261.688.382.656,,,,1.762993932616884e+20,
