row_label_raw,row_label_full,Công tyTNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam - Chi nhánh Thành phố Hồ Chí Minh,Công ty TNHH Manulife(Việt Nam) > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam > Công ty Liên doanh Quản lý Quỹ Đầu tư chứng khoán Vietcombank > Kwe Beteiligungen AG > Công ty TNHH Bảo hiểmNhân thọ AIA (Việt Nam) > Arventus Limited > Bà Khuất Thu Huyền,270.000.000.000 > 72.000.000.000 > 46.000.000.000 > 41.000.000.000 > 13.000.000.000 > 4.000.000.000,numeric__Công ty TNHH Manulife(Việt Nam) > Công ty TNHH Chứng khoán Ngân hàng TMCP Ngoại Thương Việt Nam > Công ty Liên doanh Quản lý Quỹ Đầu tư chứng khoán Vietcombank > Kwe Beteiligungen AG > Công ty TNHH Bảo hiểmNhân thọ AIA (Việt Nam) > Arventus Limited > Bà Khuất Thu Huyền,numeric__270.000.000.000 > 72.000.000.000 > 46.000.000.000 > 41.000.000.000 > 13.000.000.000 > 4.000.000.000
Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,Trừ:Chi phí phát hành,(46.124.085.661),,-46124085661.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,3.013.875.914.339,,3013875914339.0
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,2.564.587.396.012,,2564587396012.0
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,449.288.518.327,,449288518327.0
