row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.829.400.130.000,2.431.271.455.967,5.940.860.165,1.765.715.620.002,8.032.328.066.134,3829400130000.0,2431271455967.0,5940860165.0,1765715620002.0,8032328066134.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,
Chương trình lựa chọn,Chương trình lựa chọn,Chương trình lựa chọn,,,,,,,,,,
cho cán bộ quản lý cấp,cho cán bộ quản lý cấp,cho cán bộ quản lý cấp,,,,,,,,,,
cao của Công ty (iii),cho cán bộ quản lý cấp > cao của Công ty (iii),cao của Công ty (iii),11.402.870.000,-,-,-,11.402.870.000,11402870000.0,,,,11402870000.0
Lợi nhuận thuần,Lợi nhuận thuần,Lợi nhuận thuần,,,,,,,,,,
trong năm,Lợi nhuận thuần > trong năm,trong năm,-,-,-,664.726.909.796,664.726.909.796,,,,664726909796.0,664726909796.0
Cổ tức bằng tiền,Cổ tức bằng tiền,Cổ tức bằng tiền,,,,,,,,,,
công bố (i),Cổ tức bằng tiền > công bố (i),công bố (i),-,-,-,(329.172.675.639),(329.172.675.639),,,,-329172675639.0,-329172675639.0
Thường của Hội đồng,Thường của Hội đồng,Thường của Hội đồng,,,,,,,,,,
Quản trị (ii),Thường của Hội đồng > Quản trị (ii),Quản trị (ii),-,-,-,(10.710.000.000),(10.710.000.000),,,,-10710000000.0,-10710000000.0
Trích lập quỹ khen,Trích lập quỹ khen,Trích lập quỹ khen,,,,,,,,,,
thường phúc lợi (ii),Trích lập quỹ khen > thường phúc lợi (ii),thường phúc lợi (ii),-,-,-,(42.120.000.000),(42.120.000.000),,,,-42120000000.0,-42120000000.0
Số cuối năm,Trích lập quỹ khen > Số cuối năm,Số cuối năm,3.840.803.000.000,2.431.271.455.967,5.940.860.165,2.048.439.854.159,8.326.455.170.291,3840803000000.0,2431271455967.0,5940860165.0,2048439854159.0,8326455170291.0
