row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,,,,
Nam Long CMI,Các khoản phải trả người bán ngắn hạn > Nam Long CMI,Nam Long CMI,Công ty con,Phí dịch vụ tư vấn quản lý,207.676.900.303,105.296.004.156,,,207676900303.0,105296004156.0
Sản Giao Dịch,Các khoản phải trả người bán ngắn hạn > Sản Giao Dịch,Sản Giao Dịch,Công ty con,Dịch vụ môi giới,38.980.325.411,17.173.586.682,,,38980325411.0,17173586682.0
Nam Long ADC,Các khoản phải trả người bán ngắn hạn > Nam Long ADC,Nam Long ADC,Công ty con,Phí dịch vụ tư vấn quản lý,22.321.440.574,26.062.812.625,,,22321440574.0,26062812625.0
Nam Long PMD,Các khoản phải trả người bán ngắn hạn > Nam Long PMD,Nam Long PMD,Công ty con,Chi phí thuê,9.106.008.540,7.913.770.682,,,9106008540.0,7913770682.0
Nam Khang,Các khoản phải trả người bán ngắn hạn > Nam Khang,Nam Khang,Công ty con,Phí dịch vụ xây dựng,8.062.358.802,30.793.576.753,,,8062358802.0,30793576753.0
Dịch vụ Nam Long,Các khoản phải trả người bán ngắn hạn > Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,Phí dịch vụ tư vấn quản lý,4.862.527.493,1.824.908.666,,,4862527493.0,1824908666.0
Anabuki,Các khoản phải trả người bán ngắn hạn > Anabuki,Anabuki,Bên liên quan,Phí dịch vụ tư vấn quản lý,4.171.501.321,,,,4171501321.0,
Nam Long VCD,Các khoản phải trả người bán ngắn hạn > Nam Long VCD,Nam Long VCD,Công ty con,Phí dịch vụ tư vấn quản lý,3.525.502.844,1.567.603.195,,,3525502844.0,1567603195.0
Vận tải Nam Long,Các khoản phải trả người bán ngắn hạn > Vận tải Nam Long,Vận tải Nam Long,Công ty con,Phí dịch vụ tư vấn quản lý,346.547.400,182.203.982,,,346547400.0,182203982.0
,,,,,299.053.112.688,190.814.466.741,,,299053112688.0,190814466741.0
