row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Mãy mócvà thiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Mãy mócvà thiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.505.407.376,540.130.109,790.363.091,14.002.070.997,16.837.971.573,1505407376.0,540130109.0,790363091.0,14002070997.0,16837971573.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,-,-,994.174.545,994.174.545,,,,994174545.0,994174545.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.505.407.376,540.130.109,790.363.091,14.996.245.542,17.832.146.118,1505407376.0,540130109.0,790363091.0,14996245542.0,17832146118.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,-,506.130.109,-,3.024.696.271,3.530.826.380,,506130109.0,,3024696271.0,3530826380.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(853.912.223),(518.596.771),(725.988.114),(7.733.130.477),(9.831.627.585),-853912223.0,-518596771.0,-725988114.0,-7733130477.0,-9831627585.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế: > Khẩu hao trong năm,Khẩu hao trong năm,(42.099.848),(6.800.001),-,(3.128.961.320),(3.177.861.169),-42099848.0,-6800001.0,,-3128961320.0,-3177861169.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(896.012.071),(525.396.772),(725.988.114),(10.862.091.797),(13.009.488.754),-896012071.0,-525396772.0,-725988114.0,-10862091797.0,-13009488754.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,651.495.153,21.533.338,64.374.977,6.268.940.520,7.006.343.988,651495153.0,21533338.0,64374977.0,6268940520.0,7006343988.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,609.395.305,14.733.337,64.374.977,4.134.153.745,4.822.657.364,609395305.0,14733337.0,64374977.0,4134153745.0,4822657364.0
