row_label_raw,row_label_full,NLG - NNR - HRFuji,Công ty con,Ứng trước mua một phần dự án Akari,267.000.000.000,267.000.000.000_1,numeric__Công ty con,numeric__Ứng trước mua một phần dự án Akari,numeric__267.000.000.000,numeric__267.000.000.000_1
Đồng NaiWaterfront,Đồng NaiWaterfront,Đồng NaiWaterfront,Công ty con,Dịch vụ quản lý dự án,-,44.817.245.413,,,,44817245413.0
Tân Hiệp,Tân Hiệp,Tân Hiệp,Bên liên quan,Ứng trước mua cổ phần,-,39.830.508.475,,,,39830508475.0
,,,,,267.000.000.000,351.647.753.888,,,267000000000.0,351647753888.0
